id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
44054,Modern 3BD/2BTH (4Beds) Serviced Apt (A39),192875,East Apartments,,朝阳区 / Chaoyang,39.89502976848909,116.45163474951819,Entire home/apt,814,1,79,2018-08-02,0.81,12,332
100213,The Great Wall Box Deluxe Suite A团园长城小院东院套房,527062,Joe,,密云县 / Miyun,40.684339773298746,117.17231304361256,Private room,1200,1,2,2017-10-08,0.17,4,0
128496,Heart of Beijing: House with View 2,467520,Cindy,,东城区,39.93212988040019,116.42199836724964,Entire home/apt,400,3,253,2018-07-29,2.88,1,30
161902,cozy studio in center of Beijing,707535,Robert,,东城区,39.93356634823392,116.43576522314964,Entire home/apt,386,1,26,2016-12-03,0.31,4,290
162144,"nice studio near subway, sleep 4 ",707535,Robert,,朝阳区 / Chaoyang,39.93668031958748,116.43798480483846,Entire home/apt,552,1,37,2018-08-01,0.44,4,337
279078,Nice Apartment in Beijing,1455726,Fiona,,东城区,39.939584842819954,116.43484518524484,Entire home/apt,386,1,21,2018-07-21,0.26,8,355
282825,Large 2 BR Apt in a great location,1466681,Florence,,朝阳区 / Chaoyang,39.937118416177206,116.45088803639595,Entire home/apt,793,3,97,2018-08-11,1.26,1,168
314453,"Delicate Apartment, Dongzhimen Area",1455726,Fiona,,东城区,39.93943126799599,116.43362379135992,Entire home/apt,393,1,27,2018-06-18,0.38,8,358
317195,"Sweet Apartment, Embassy Area",1455726,Fiona,,东城区,39.939463270450815,116.43544528913378,Entire home/apt,545,1,3,2014-09-06,0.05,8,356
397447,Comfortable living away from home,192875,East Apartments,,朝阳区 / Chaoyang,39.893952182567986,116.45049557506522,Entire home/apt,545,1,12,2018-06-13,0.23,12,321
398784,1BD 1BTH Serviced Apt in Fulicheng,192875,East Apartments,,朝阳区 / Chaoyang,39.894033978276674,116.44895697179665,Entire home/apt,883,1,4,2015-05-05,0.08,12,360
445306,Apartment in the heart of Beijing,2212388,Betty,,东城区,39.91341579419986,116.4183743332568,Entire home/apt,931,1,138,2018-07-27,1.82,1,293
491280,Cozy studio in center of Beijing #2,707535,Robert,,东城区,39.93516229736818,116.43681886410984,Entire home/apt,386,1,4,2016-12-10,0.07,4,290
522237,Quadrangle Courtyard ( Siheyuan),2562442,Yan,,西城区,39.92381754633421,116.37009456158268,Private room,584,1,31,2018-06-17,0.52,7,260
537674,Quadrangle Courtyard ( Siheyuan),2562442,Yan,,西城区,39.92411678696425,116.37062799283908,Private room,6002,1,10,2018-02-20,0.15,7,243
537675,Quadrangle Courtyard ( Siheyuan),2562442,Yan,,西城区,39.92417432065009,116.3704064301216,Private room,584,1,55,2018-06-17,0.76,7,261
627240,Culturally Inspired @ City Center,3113849,Bo,,海淀区,39.94956490297442,116.34887154464538,Private room,406,1,1,2012-09-07,0.01,1,293
685820,Huaxia Sunshine Serviced Apt (A),3488642,Chunyu,,朝阳区 / Chaoyang,39.901325511618815,116.48153597231847,Entire home/apt,428,2,7,2017-01-01,0.20,7,364
732687,IKEA-Style Condo in Central Beijing,3814336,Mona,,东城区,39.85983063769134,116.38919789577045,Entire home/apt,309,12,22,2018-01-07,0.32,1,93
762579,3BR Luxury Apt in Downtown Beijing,2635399,Jie,,海淀区,39.94612035264827,116.34326285385538,Entire home/apt,1712,2,66,2018-08-09,0.96,1,174
824570,Huaxia Sunshine Serviced Apt (C),3488642,Chunyu,,朝阳区 / Chaoyang,39.898541833836305,116.4833844195074,Entire home/apt,359,3,2,2015-09-23,0.05,7,364
