id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,area
17891,Large Light Filled Loft,69063,Candace,,Central & Western,22.28463618,114.1499977,Entire home/apt,1601,2,73,11/29/2017,0.72,1,352,HongKong
69074,Beautiful oasis of plants & art and best location,160139,Amy,,Central & Western,22.28351649,114.1501772,Entire home/apt,1413,3,108,8/9/2018,1.18,1,71,HongKong
101765,Lamma Island flat 2min walk from the beach!,532909,Michael,,Islands,22.200224,114.1346085,Entire home/apt,432,2,3,7/31/2018,0.69,1,161,HongKong
103760,Central Centre 5 min walk to/from Central MTR,304876,Brend,,Central & Western,22.2840739,114.1556956,Entire home/apt,856,2,231,7/26/2018,2.65,38,307,HongKong
132773,Fabulous 2 Bdrm Aprt Open kitchen ,304876,Brend,,Central & Western,22.28867884,114.1449443,Entire home/apt,1060,2,156,7/22/2018,1.81,38,319,HongKong
133390,"Soho, Hong Kong 1 bedroom flat",654642,Robin,,Central & Western,22.28343471,114.155392,Entire home/apt,942,2,27,6/30/2015,0.31,1,42,HongKong
163664,Soho off Hollywood Road P4,304876,Brend,,Central & Western,22.28651073,114.1487434,Entire home/apt,699,2,178,7/22/2018,2.1,38,301,HongKong
163742,Soho off Hollywood Road P3,304876,Brend,,Central & Western,22.28694434,114.1485513,Entire home/apt,777,2,184,7/9/2018,2.15,38,316,HongKong
174574,"2 BR SEA VIEW, AIR & DISNEY ??? LATE SELF CHK-IN OK",530880,Jennifer,,Islands,22.30388192,114.0088749,Entire home/apt,1578,1,91,8/5/2018,1.09,2,82,HongKong
230898,Entire two bedroom apartment in a beautiful area,802480,Hoan Soo,,Kowloon City,22.30347953,114.1854355,Entire home/apt,620,3,0,,,1,152,HongKong
248140,Bright Studio - Soho - Central HK,1300549,Darren,,Central & Western,22.2829054,114.1513655,Entire home/apt,997,2,137,7/6/2018,1.66,1,143,HongKong
251992,"BEST BALCONY In Sheung Wan, 2 BR",1321952,Timothy,,Central & Western,22.28535792,114.1500429,Entire home/apt,2347,1,19,7/28/2018,0.23,2,63,HongKong
262212,Wan Chai MTR Open Studio: 1-4 Guests 460SF,1375696,C S,,Wan Chai,22.27626014,114.1729269,Entire home/apt,1319,1,67,7/29/2018,0.82,21,169,HongKong
263081,"3BR, 2 Helpers, Family Friendly!",1370155,Chuster,,Central & Western,22.27756622,114.1520502,Private room,4317,10,0,,,1,0,HongKong
274589,"8 mins HKCEC, 5 mins MTR Wan Chai, nr Causeway Bay",1435069,Shanshan,,Wan Chai,22.27939988,114.1711792,Entire home/apt,1083,2,199,7/29/2018,2.45,1,301,HongKong
277437,Flat near HKU/IFC/Lan Kwai Fong,1443229,Alice,,Central & Western,22.28359339,114.1313805,Entire home/apt,903,2,39,7/3/2016,0.48,5,288,HongKong
278277,FANTASTIC (HK) in the heart of HK ,1452499,Sally,,Wan Chai,22.27937672,114.1736811,Entire home/apt,1554,3,194,8/12/2018,2.39,7,293,HongKong
280746,Beautiful 3 bedroom designer Apt,1443229,Alice,,Yuen Long,22.46662458,113.9831563,Entire home/apt,942,4,28,11/25/2017,0.36,5,345,HongKong
282506, Modern 1 B/R Apt Causeway Bay   ,1443229,Alice,,Eastern,22.28382204,114.1926238,Entire home/apt,1020,3,69,12/9/2017,0.85,5,357,HongKong
284141,"Big, quiet apt above Hollywood Rd",1469210,Abheek,,Central & Western,22.28317084,114.1502847,Entire home/apt,628,2,22,6/20/2016,0.27,1,0,HongKong
290161,Amazing Location -  Designer Flat,1505903,Sara,,Central & Western,22.28113633,114.1530604,Entire home/apt,785,1,47,9/21/2015,0.83,1,0,HongKong
306515,"HongKong,Central Bright Double Room",1576511,Frederic,,Central & Western,22.2822232,114.1544764,Entire home/apt,1075,30,20,8/14/2015,0.25,1,365,HongKong
320446,SUITE 2: Next2 SouthPacificHotel,1375696,C S,,Wan Chai,22.27598989,114.1797649,Private room,1005,1,15,11/14/2015,0.19,21,128,HongKong
320447,3BedR + 3BathR (3-10 Guests) 600SF,1375696,C S,,Wan Chai,22.2771066,114.177715,Entire home/apt,2261,1,90,6/29/2018,1.16,21,166,HongKong
321143,2BR + OUTDOOR PATIO: 2-6 Guests 480SF + 400SF,1375696,C S,,Wan Chai,22.27815615,114.1763358,Entire home/apt,1790,1,62,8/12/2018,0.8,21,70,HongKong
327095,"3Brs(HB) in the heart of HK,WanChai",1529119,Eric,,Wan Chai,22.27908574,114.1720476,Entire home/apt,1162,3,206,8/8/2018,3.14,2,222,HongKong
338157,Harbor view PENTHOUSE with terrace,1137330,Al,,Eastern,22.29122576,114.2012463,Entire home/apt,997,28,112,7/28/2018,1.43,1,318,HongKong
354442,5500 sq ft family home in Hong Kong,1794577,Simon,,Southern,22.26790587,114.125539,Entire home/apt,2496,5,2,6/26/2018,0.15,1,0,HongKong
389017,Causeway Bay Tai Hang Quiet & Light,1946293,Su,,Wan Chai,22.2781381,114.1922753,Private room,487,2,40,4/8/2018,0.51,2,45,HongKong
393112,2BRs & 5mins MTR night mkt in YMT,1966274,Cs,,Yau Tsim Mong,22.30672709,114.1685315,Entire home/apt,801,1,216,7/1/2018,2.8,11,243,HongKong
393502,3BR Next 2 Times Square 440SF,1375696,C S,,Wan Chai,22.27813753,114.1810201,Entire home/apt,1790,1,34,7/7/2018,0.44,21,177,HongKong
405722,Soho/ Mid-levels Apt For Rental ,2022316,Tereza,,Central & Western,22.28160333,114.1504242,Entire home/apt,1020,1,0,,,1,0,HongKong
410921,SUITE 1: Next to South Pacific Hotel,1375696,C S,,Wan Chai,22.27735814,114.1794887,Private room,785,1,18,10/6/2017,0.23,21,128,HongKong
412404,Budget Apt 1-5 px Tsim Sha Tsui Mtr,1991696,Gigi,,Yau Tsim Mong,22.29701346,114.1713782,Entire home/apt,549,1,172,7/24/2018,3.5,3,321,HongKong
415520,"Nice, Harmony & Cozy Apt (2 Brs, 578 g.s.f) Jordan",1564983,Patrick,,Yau Tsim Mong,22.30598077,114.1659044,Entire home/apt,997,3,357,8/7/2018,4.98,2,92,HongKong
419424,"2BR Harbour View, Quiet & Convenient",2085785,Eric,,Central & Western,22.28801337,114.1500192,Entire home/apt,1091,7,119,7/22/2018,1.55,1,258,HongKong
442781,Spacious Lofty and Modern Apartment,2200572,Edouard,,Central & Western,22.28756126,114.133671,Entire home/apt,1248,2,5,12/31/2013,0.07,1,0,HongKong
459463,Wifi Causeway Bay petit home by MTR,2283777,Jennifer,,Wan Chai,22.27731958,114.1829142,Entire home/apt,377,1,59,6/25/2018,1.12,18,362,HongKong
463214,Awesome flat in Hong Kong with maid,2296168,Arnaud,,Central & Western,22.2875255,114.143081,Private room,895,3,18,1/3/2018,0.24,1,311,HongKong
468754,3 Bedrooms Apt Near Times Square,2254012,Chloe,,Wan Chai,22.28073494,114.178378,Entire home/apt,1099,3,167,6/30/2018,2.21,1,271,HongKong
470946,Condo@waterfront+1br+Sleep3+next to MTR station,2336819,Han,,Eastern,22.28359844,114.2220254,Entire home/apt,871,1,147,7/31/2018,1.94,1,155,HongKong
481671,Cozy apart in the heart of SW!,2379932,Emilie,,Central & Western,22.28570726,114.1516642,Entire home/apt,298,15,0,,,1,0,HongKong
498484,Cosy apartment in central Kowloon,2460679,Richard,,Yau Tsim Mong,22.32193423,114.1621267,Entire home/apt,542,4,51,7/3/2018,0.72,1,344,HongKong
501379,"Quiet, rural outlying island flat",2474113,Graham,,Islands,22.23696615,114.1105929,Entire home/apt,581,5,30,11/9/2017,0.53,2,0,HongKong
505456,GREEN NEST IN  SHEUNG WAN HEART,1189239,Audrey,,Central & Western,22.28355881,114.1483542,Entire home/apt,871,1,155,8/4/2018,2.06,1,313,HongKong
528287,The  best area in  HONG KONG !,745577,Tiziana,,Yau Tsim Mong,22.29863548,114.1730437,Private room,597,2,236,7/31/2018,3.15,1,338,HongKong
529501,Huge 3BDR + 2Toilets 6-10ppl Jordan,2601704,Eddy,,Yau Tsim Mong,22.3082195,114.1671525,Entire home/apt,1177,2,116,7/22/2018,1.62,4,276,HongKong
534047,Artist Loft with Sea View in Hong Kong,2172438,Joy,,Southern,22.23890599,114.1526986,Entire home/apt,785,3,8,6/1/2018,0.44,2,253,HongKong
534106,Cosy apartment in the heart of HK!,2625423,Stephanie,,Central & Western,22.2840271,114.1419179,Entire home/apt,997,1,12,12/30/2015,0.19,1,0,HongKong
545658,Great studio in Kennedy Town!,2679225,Adam,,Central & Western,22.28275862,114.1284806,Entire home/apt,754,5,2,2/15/2015,0.05,1,0,HongKong
548840,"GreatStudio NewDecor, Nice Area 3rd",808933,J,,Central & Western,22.28504796,114.1421145,Entire home/apt,542,3,144,7/29/2018,1.98,7,305,HongKong
554138,bright and (quiet) artist studio,635161,Cedric,,Central & Western,22.28377938,114.1475955,Entire home/apt,871,2,5,12/27/2017,0.08,1,18,HongKong
560337,High floor/Bay view in Kowloon !!,2755168,Sonia,,Kowloon City,22.31360588,114.1896279,Private room,283,2,191,7/9/2018,2.57,1,352,HongKong
562659,"Spacious studio, 1min from Sogo(A)",2767759,Alfred,,Wan Chai,22.27972774,114.1862291,Entire home/apt,597,90,0,,,17,228,HongKong
562683,Standard Mixed Dorm Bed#1,2767794,Check Inn HK,,Wan Chai,22.2778745,114.1767841,Shared room,283,1,84,7/26/2018,1.19,20,351,HongKong
562775,Standard Mixed Dorm Bed#2,2767794,Check Inn HK,,Wan Chai,22.27930598,114.176627,Shared room,283,1,140,8/11/2018,4.07,20,347,HongKong
562795,Standard Mixed Dorm Bed#3,2767794,Check Inn HK,,Wan Chai,22.27938855,114.1777694,Shared room,283,1,34,8/3/2018,0.99,20,360,HongKong
562808,Standard Mixed Dorm Bed#4,2767794,Check Inn HK,,Wan Chai,22.27762121,114.1762414,Shared room,283,1,13,12/19/2017,0.39,20,362,HongKong
562817,Standard Mixed Dorm Bed#A,2767794,Check Inn HK,,Wan Chai,22.27706377,114.1758909,Shared room,283,1,117,8/11/2018,1.59,20,336,HongKong
562822,Studio w/ private kit. & bath. (B) ,2767759,Alfred,,Wan Chai,22.27917612,114.1859697,Entire home/apt,652,90,11,3/2/2013,0.15,17,365,HongKong
562840,Standard Mixed Dorm Bed#B,2767794,Check Inn HK,,Wan Chai,22.27759438,114.1767106,Shared room,283,1,24,4/5/2018,0.33,20,364,HongKong
562859,Grand convenient studio! (C),2767759,Alfred,,Wan Chai,22.27913984,114.184716,Entire home/apt,597,120,3,12/11/2012,0.04,17,318,HongKong
578652,Modern family-friendly suite in fishing village,2846701,Veronica,,Islands,22.25386133,113.8640017,Private room,1845,1,3,5/1/2018,0.08,4,4,HongKong
585981,3 Bedrooms (SK3) Centrally located ,1529119,Eric,,Wan Chai,22.278906,114.1716587,Entire home/apt,1633,3,160,8/12/2018,2.18,2,316,HongKong
586083,Budget Studio1-5p Tsim Sha Tsui MTR,1991696,Gigi,,Yau Tsim Mong,22.29846037,114.172335,Entire home/apt,447,1,251,7/22/2018,3.44,3,257,HongKong
597390,"HoiShing Hotel, Jordan, Kowloon, HK",2953879,Biosze,,Yau Tsim Mong,22.30494872,114.1725326,Private room,447,1,22,8/30/2017,0.31,8,361,HongKong
603049,Deluxe Room@Espace Elastique-Tai O,2846701,Veronica,,Islands,22.25592645,113.8618267,Private room,1154,1,18,12/26/2017,0.35,4,10,HongKong
603050,Standard Rm@Espace Elastique-Tai O,2846701,Veronica,,Islands,22.25437086,113.8637006,Private room,879,1,12,6/12/2018,0.2,4,13,HongKong
603051,"""Lotus""-Zen styled room @Espace Elastique of Tai O",2846701,Veronica,,Islands,22.25409275,113.8622835,Private room,636,1,42,6/17/2018,0.71,4,10,HongKong
603232,DISCOVERY BAY - 3 Bedroom apartment,2986287,Tish,,Islands,22.29377613,114.014577,Entire home/apt,1499,2,15,12/26/2017,0.27,1,2,HongKong
604953,"3BR SEAVIEW, AIRPORT & DISNEY  LATE SELF CHK-IN",530880,Jennifer,,Islands,22.30631443,114.0086188,Entire home/apt,1648,1,119,8/7/2018,1.63,2,138,HongKong
621305,NEW Cozy APT 4 mins to Mong Kok MTR,3079511,Bonnie,,Yau Tsim Mong,22.31500555,114.1690676,Entire home/apt,761,1,329,8/12/2018,4.49,4,263,HongKong
622020,Bright 1-bdrm apt in Sheung Wan HKG,3073447,Sarah,,Central & Western,22.28386621,114.1475339,Entire home/apt,1201,5,28,3/23/2016,0.39,1,0,HongKong
628303,Apartment F causeway bay,2767759,Alfred,,Wan Chai,22.28062782,114.1863803,Entire home/apt,597,120,9,3/17/2013,0.12,17,236,HongKong
632320,Quiet Studio Flat Near Beach,694068,Cecilie,,Islands,22.24304799,113.9758281,Entire home/apt,502,2,162,12/31/2017,2.23,2,167,HongKong
634726,"BIG 3BR APT IN WANCHAI, HEART OF HK",3161756,Sl,,Wan Chai,22.27811104,114.1735384,Entire home/apt,997,180,19,8/31/2013,0.26,1,365,HongKong
645311,Amazing Apt (HH) in heart of HK,1452499,Sally,,Wan Chai,22.27889518,114.1720867,Entire home/apt,1554,3,155,8/4/2018,2.23,7,303,HongKong
645404,Creative Residence in Kowloon . WM,634820,Wontonmeen,,Yau Tsim Mong,22.32617442,114.164592,Shared room,220,1,110,8/12/2018,1.53,6,144,HongKong
645950,"Ladies Street, 2 BR, MongKok MTR",3052154,John,,Yau Tsim Mong,22.31629114,114.1706045,Entire home/apt,816,4,137,3/2/2018,1.89,3,161,HongKong
646645,Creative Residence. Private Room,634820,Wontonmeen,,Sham Shui Po,22.33096286,114.1642902,Private room,447,1,35,4/11/2018,0.48,6,352,HongKong
