id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,area
2265,Zen-East in the Heart of Austin,2466,Paddy,,78702,30.27750017,-97.7139754,Entire home/apt,200,2,22,5/28/2018,0.19,3,93,Austin
5245,"Green, Colorful, Clean &  Cozy home",2466,Paddy,,78702,30.27577356,-97.71379268,Private room,125,2,9,3/14/2018,0.08,3,115,Austin
5456,"Walk to 6th, Rainey St and Convention Ctr",8028,Sylvia,,78702,30.26111595,-97.73448284,Entire home/apt,95,2,441,6/20/2018,3.88,1,339,Austin
5769,NW Austin Room,8186,Elizabeth,,78729,30.45596396,-97.78370172,Private room,40,1,231,7/3/2018,2.3,1,75,Austin
6413,Gem of a Studio near Downtown,13879,Todd,,78704,30.24829103,-97.73726198,Entire home/apt,99,3,75,4/30/2018,0.72,1,10,Austin
6448,Secluded Studio in 78704 (Zilker),14156,Amy,,78704,30.26027322,-97.76502893,Entire home/apt,129,3,184,7/4/2018,2.21,1,100,Austin
8502,Woodland Studio Lodging,25298,Karen,,78741,30.23615745,-97.73682307,Entire home/apt,40,3,44,4/11/2018,0.43,1,172,Austin
14765,"30's Cottage, Trav Height, SoCo, mins to Downtown",57982,Charla,,78704,30.25015001,-97.74190244,Entire home/apt,260,2,40,5/28/2018,0.62,1,312,Austin
14913,Blue Boy Club House / Music Venue,58635,Steven,,78748,30.15645182,-97.8241138,Entire home/apt,300,1,22,5/6/2018,0.42,1,363,Austin
21120,South Austin Oasis of Relaxation,80375,Tammy,,78744,30.17016456,-97.75695392,Private room,44,1,79,6/16/2018,0.79,1,0,Austin
21126,Explore Travis Heights from a Mid-Century Retreat,80406,Dani,,78704,30.24503146,-97.74075435,Entire home/apt,550,1,59,6/30/2018,0.89,10,146,Austin
21145,"Central, Pet Friendly, Private Pool, Non Smoking",80511,April,,78705,30.29422338,-97.74618067,Entire home/apt,200,2,25,6/3/2018,0.86,1,145,Austin
22982,Private Clarksville 2-1/Sleeps Six,89031,Gina,,78703,30.28027348,-97.75595562,Entire home/apt,100,2,98,7/1/2018,0.97,1,303,Austin
25028,Lovely Central Austin Bungalow,102862,Elana,,78757,30.33765501,-97.73725768,Entire home/apt,80,30,30,5/24/2018,0.3,1,222,Austin
27632,Clarksville Condo - Minutes to DT!,119441,Angele,,78703,30.27722481,-97.76087567,Entire home/apt,100,2,82,1/14/2018,0.86,1,322,Austin
32396,South Austin Comfort,140174,Tiffany,,78749,30.20272667,-97.84438946,Entire home/apt,55,1,9,10/2/2012,0.09,1,190,Austin
37324,furnished bedroom and full bath,161189,Chris,,78727,30.43029583,-97.69124916,Private room,35,2,25,4/5/2018,0.66,1,59,Austin
39152,South Austin Cosmic Groove :~>,167892,Veronica,,78704,30.25671492,-97.75412273,Entire home/apt,160,3,179,3/18/2018,1.88,3,13,Austin
39993,Tiny Tarrytown Apartment,210965,Susan And Anthony,,78703,30.29995525,-97.77832324,Entire home/apt,59,2,52,7/8/2018,0.99,3,242,Austin
46929,Sunny Central Austin Apartment,210965,Susan And Anthony,,78703,30.30038194,-97.77885789,Entire home/apt,105,2,312,7/8/2018,3.31,3,219,Austin
