id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,area
3781,HARBORSIDE-Walk to subway,4804,Frank,,East Boston,42.36524121,-71.02936149,Entire home/apt,125,30,14,7/2/2018,0.38,2,145,Boston
5506,**$99 Special **   Private! Minutes to center!,8229,Terry,,Roxbury,42.3298085,-71.09559469,Entire home/apt,145,3,65,7/5/2018,0.57,6,309,Boston
6695,$125 Special!! Home Away! Condo,8229,Terry,,Roxbury,42.32994061,-71.09350511,Entire home/apt,169,3,70,6/1/2018,0.64,6,291,Boston
6976,Mexican Folk Art Haven in Boston Residential Area,16701,Phil,,Roslindale,42.29243789,-71.13576525,Private room,65,3,65,6/26/2018,0.59,1,54,Boston
8789,Curved Glass Studio/1bd facing Park,26988,Anne,,Downtown,42.35918692,-71.06265111,Entire home/apt,99,14,16,6/24/2018,0.33,8,295,Boston
8792,Large 1 Bed facing State House,26988,Anne,,Downtown,42.35849698,-71.06201144,Entire home/apt,154,20,22,4/6/2018,0.21,8,243,Boston
8865,Walk to Medical Area - room,26988,Anne,,Mission Hill,42.3293557,-71.1000911,Private room,100,14,12,7/27/2015,0.11,8,195,Boston
9273,"Stay at ""HARBORVIEW"" Walk to subway",4804,Frank,,East Boston,42.36460804,-71.02902056,Entire home/apt,225,7,14,10/23/2016,0.15,2,198,Boston
10758,Budget Single - share bath,38440,The Farrington Inn,,Allston,42.35344917,-71.13179683,Private room,115,1,2,10/3/2015,0.04,4,0,Boston
10807,Budget Double - share bath ,38440,The Farrington Inn,,Allston,42.35412286,-71.13048573,Private room,80,1,1,10/13/2014,0.02,4,0,Boston
10809,Private Room with 2 Beds share Bath,38440,The Farrington Inn,,Allston,42.35478799,-71.13208846,Private room,100,1,14,8/15/2016,0.27,4,0,Boston
10810,Two Bedroom Apartment,38440,The Farrington Inn,,Allston,42.35335918,-71.13034354,Entire home/apt,250,4,0,,,4,0,Boston
10811,Back Bay Studio on Marlborough St-,38997,Michelle,,Back Bay,42.34972969,-71.08792364,Entire home/apt,189,1,5,4/8/2017,0.16,6,313,Boston
10813,Back Bay Apt Studio Apt,38997,Michelle,,Back Bay,42.34961258,-71.08903822,Entire home/apt,189,3,1,5/23/2016,0.04,6,154,Boston
10986,Waterfront Furnished Apt ,38997,Michelle,,North End,42.36351987,-71.05075392,Entire home/apt,99,5,2,5/23/2016,0.08,6,364,Boston
12356,"Renovated, State House View",26988,Anne,,Beacon Hill,42.35898849,-71.06324696,Entire home/apt,145,14,9,8/13/2016,0.2,8,197,Boston
12441,"[1300] 3BR, Multi-Level, Penthouse in Back Bay",25188,Seamless,,Back Bay,42.35384159,-71.07268038,Entire home/apt,414,2,41,6/8/2018,0.41,11,311,Boston
18711,The Dorset | 3BR 1BA | 1st Floor,71783,Lance,,Dorchester,42.32328571,-71.06210287,Entire home/apt,126,2,37,6/26/2018,0.37,25,63,Boston
22354,COPLEY SQ...19TH C.TWNHSE SUNNY RM,85770,Robert,,South End,42.34495654,-71.07485746,Private room,148,1,278,7/16/2018,3.28,5,80,Boston
24240,The Golden Slipper,97821,Gretchen,,North End,42.36366048,-71.05023194,Entire home/apt,270,1,71,7/12/2018,0.75,1,115,Boston
26160,Sunny and Spacious in JP,46575,Martha,,Jamaica Plain,42.31949996,-71.11231773,Private room,94,3,116,4/19/2018,1.16,1,83,Boston
27546,L'Auberge Espagnole  /room H,119019,Hermina,,Dorchester,42.29834949,-71.05910373,Private room,55,1,221,6/28/2018,2.23,10,221,Boston
27611,One Bedroom Studio Garden Apartment,119381,Gordon And Alexandra,,Jamaica Plain,42.31556512,-71.11482701,Entire home/apt,185,3,13,6/11/2018,0.26,1,252,Boston
29765,"Luxury suite, Moroccan furnishings",128280,Elizabeth,,Charlestown,42.37833822,-71.06662682,Entire home/apt,221,2,92,9/3/2017,0.93,3,165,Boston
31796,Big room with two bed/Room A,119019,Hermina,,Dorchester,42.29977341,-71.06047581,Private room,43,1,388,7/1/2018,3.94,10,317,Boston
36885,A Cozy Corner of Boston,159160,Deborah,,Fenway,42.34633476,-71.08832312,Entire home/apt,165,4,140,6/29/2018,1.44,1,3,Boston
39116,Private Room/Perfect Location!,167745,Angela,,Fenway,42.34238757,-71.09725114,Private room,99,90,70,2/20/2018,0.72,1,251,Boston
40601,Private room & bath - Jamaica Plain,174986,Robert,,Jamaica Plain,42.31509939,-71.11107897,Private room,95,5,69,6/27/2018,0.72,1,244,Boston
44205,Elegance at Salem Street Court,128280,Elizabeth,,Charlestown,42.37655111,-71.06676906,Entire home/apt,184,2,79,4/17/2018,0.83,3,157,Boston
47521,Beautiful Victorian House /C,119019,Hermina,,Dorchester,42.29771972,-71.05924046,Private room,50,1,303,7/12/2018,3.17,10,334,Boston
50032,Amazing Design & Detail Throughout!,228845,Jeremy,,Jamaica Plain,42.31591116,-71.11275691,Entire home/apt,700,3,18,12/9/2017,0.22,2,272,Boston
57156,3 Room Cottage in Boston,271947,Bill,,Dorchester,42.31004204,-71.0494183,Entire home/apt,105,5,35,7/17/2018,0.4,1,212,Boston
60029,Room in geographical heart of Hub,255183,Michelle,,Roxbury,42.32584185,-71.0892685,Private room,70,2,124,6/30/2018,1.35,5,81,Boston
60356,Bookcase 1bd facing Boston Common,26988,Anne,,Downtown,42.35711748,-71.06179966,Entire home/apt,175,7,12,6/20/2018,0.21,8,287,Boston
66288,Architects Live-in Studio in Boston,324630,Sean,,Mission Hill,42.33215158,-71.10674178,Entire home/apt,79,1,577,6/29/2018,6.31,1,52,Boston
67774,Corner 1 bed facing Golden Dome,26988,Anne,,Beacon Hill,42.35866925,-71.06331527,Entire home/apt,110,14,37,6/30/2018,0.54,8,233,Boston
69369,Room in Boston off the beaten path,255183,Michelle,,Roxbury,42.32614221,-71.08840448,Private room,78,2,95,5/28/2018,1.09,5,348,Boston
76073,A large beautiful house in Boston,405376,Randi,,Brighton,42.35272493,-71.16881966,Entire home/apt,450,2,63,10/22/2017,0.71,2,189,Boston
77681,Waterfall Room: Bunker Hill B&B,416912,Christiane,,Charlestown,42.37853325,-71.06176887,Private room,140,2,31,10/24/2017,0.37,2,359,Boston
77691,Beautiful Victorian House /Room B,119019,Hermina,,Dorchester,42.29770901,-71.05979096,Private room,65,1,263,7/9/2018,2.93,10,331,Boston
82637,Nautical Room: Bunker Hill B&B,416912,Christiane,,Charlestown,42.3783338,-71.06181846,Private room,175,2,21,7/16/2017,0.26,2,364,Boston
91588,Sunny Private Bedroom. 7 minute walk to Redline T.,494453,Dave,,Dorchester,42.31357973,-71.04696815,Private room,68,1,86,7/7/2018,0.99,1,311,Boston
95453,Royal Street Studio: by Spare Suite,508268,Richard,,Allston,42.35937208,-71.13155989,Entire home/apt,175,5,26,7/3/2018,0.29,1,328,Boston
115936,"Sunny, Spacious and Affordable",228845,Jeremy,,Jamaica Plain,42.31557614,-71.11305745,Entire home/apt,550,3,12,4/9/2018,0.16,2,84,Boston
118905,Lotus (Luxury apartment),434539,Brahma,,East Boston,42.37932676,-71.03376094,Entire home/apt,325,7,23,3/29/2018,0.27,2,198,Boston
