id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,area
2384,Hyde Pk -Walk to UChicago and Theological Seminary,2613,Rebecca,,Hyde Park,41.7888649,-87.58670891,Private room,50,2,127,7/1/2018,2.96,1,279,Chicago
4505,"One great apartment, 346 great reviews, 1 bad one.",5775,Craig & Kathleen,,South Lawndale,41.85495262,-87.69696179,Entire home/apt,120,2,352,7/15/2018,3.09,1,211,Chicago
6715,Lincoln Park Oasis - Unit 2 ONLY,15365,Reem,,Lincoln Park,41.92926222,-87.66009125,Entire home/apt,255,4,90,7/10/2018,0.81,2,336,Chicago
7126,Tiny Studio Apartment 94 Walk Score,17928,Sarah,,West Town,41.90289494,-87.6818216,Entire home/apt,80,2,299,7/2/2018,2.72,1,217,Chicago
9811,Barbara's Hideaway - Old Town,33004,At Home Inn,,Lincoln Park,41.91768924,-87.63787944,Entire home/apt,150,3,25,6/25/2018,0.48,10,308,Chicago
10610,3 Comforts of Cooperative Living,2140,Lois And Ed,,Hyde Park,41.79708495,-87.59194894,Private room,35,2,30,7/15/2018,0.66,6,151,Chicago
10945,The Biddle House (#1),33004,At Home Inn,,Lincoln Park,41.91182685,-87.63999816,Entire home/apt,215,3,6,5/27/2018,0.12,10,316,Chicago
12068,Chicago GOLD COAST 1 Bedroom Condo,40731,Dominic,,Near North Side,41.9045209,-87.63320022,Entire home/apt,99,3,8,10/24/2017,0.19,1,183,Chicago
12140,Lincoln Park Guest House,46734,Sharon And Robert,,Lincoln Park,41.92335308,-87.64950966,Private room,289,2,4,6/4/2018,0.11,1,257,Chicago
22362,*** Luxury in Chicago! 2BR/ 2Ba / Parking / BBQ **,85811,Craig,,West Town,41.89616805,-87.66041074,Entire home/apt,110,60,9,10/12/2014,0.16,1,245,Chicago
24833,Private Apt 1 Block to Fullerton L Red Line - Deck,101521,Red,,Lincoln Park,41.92679107,-87.65521134,Entire home/apt,99,32,36,11/30/2017,0.36,4,313,Chicago
25267,Wrigleyville beautifully furnished 3 bedroom #2,87231,Jeff And JoAnne,,Lake View,41.94750674,-87.65928449,Entire home/apt,105,1,153,6/26/2018,1.6,16,75,Chicago
25269,"Old Town, Furnished 2 bedroom: SWG",87231,Jeff And JoAnne,,Lincoln Park,41.9142263,-87.63846122,Entire home/apt,115,1,158,7/1/2018,1.6,16,231,Chicago
25879,Top 2/1  Block to Fullerton L Red Line Deck & Yard,101521,Red,,Lincoln Park,41.92693453,-87.65752711,Entire home/apt,99,32,43,9/18/2017,0.44,4,292,Chicago
37738,Andersonville - Perfect location!,162364,Mat And Randy,,Uptown,41.97384553,-87.66538939,Private room,74,3,229,7/2/2018,2.35,1,214,Chicago
39742,Central guestroom! Walk everywhere!,170758,Eric,,Near North Side,41.8937749,-87.63465211,Private room,75,2,437,7/3/2018,4.62,1,0,Chicago
44020,2 Bedrm 1 Block to Fullerton L  - Deck with Grll,101521,Red,,Lincoln Park,41.9267303,-87.65730729,Entire home/apt,80,32,50,10/1/2017,0.59,4,265,Chicago
46151, Furnished Junior 1 Bedroom :SW1R,87231,Jeff And JoAnne,,Lincoln Park,41.91330636,-87.63964488,Entire home/apt,75,1,208,6/7/2018,2.18,16,212,Chicago
46154,Old Town Lincoln Park studio: 2F,87231,Jeff And JoAnne,,Lincoln Park,41.91287206,-87.63978767,Entire home/apt,65,1,192,7/1/2018,2.02,16,219,Chicago
49893,1 Bedrm 1 block from Wrigley Field,87231,Jeff And JoAnne,,Lake View,41.9491833,-87.65845859,Entire home/apt,70,1,235,6/28/2018,2.47,16,120,Chicago
53497,Wrigley 2 BD /2 Bath Duplex: OD2F,87231,Jeff And JoAnne,,Lake View,41.9354095,-87.66711359,Entire home/apt,95,1,65,6/3/2018,0.69,16,81,Chicago
56802,Beautiful 2 BR Old Town Lincoln Pk,87231,Jeff And JoAnne,,Lincoln Park,41.91264188,-87.63979374,Entire home/apt,155,1,223,6/27/2018,2.43,16,173,Chicago
71930,"Rest, Relax and Explore",334241,Michael And Veronica,,West Town,41.89686555,-87.67988892,Private room,59,4,43,5/23/2018,0.49,2,118,Chicago
79101,5???Cubs/Beach!AragonTRAIN2Bdrms/Ba,272671,Two For The Road,,Uptown,41.96792406,-87.65756861,Private room,180,2,143,7/14/2018,1.6,4,341,Chicago
80640,charming Logan Sqare 2bdrm greystone on Blue Line,376916,Dean,,Logan Square,41.92462101,-87.70468435,Entire home/apt,155,1,43,5/9/2017,0.52,1,259,Chicago
84042,The Explorer Room,334241,Michael And Veronica,,West Town,41.89693077,-87.68032886,Private room,60,3,37,5/27/2018,0.42,2,141,Chicago
110705,Fab Value!/ Spa /Deck/ARAGON/TRAIN,272671,Two For The Road,,Uptown,41.96930174,-87.65621311,Private room,99,2,121,7/14/2018,1.39,4,327,Chicago
126280,"Near Lake, Wrigley and Weiss Hospital",626517,Gail,,Uptown,41.96803815,-87.65122779,Private room,48,3,128,7/7/2018,1.48,1,198,Chicago
133262,"Live, Work, Play, Stay!  Chicago!",654712,Francesca,,West Town,41.89242541,-87.68078222,Entire home/apt,65,10,31,6/15/2018,0.45,1,13,Chicago
145659,Trendy Roscoe Village 3BR/2BR walk to shops,683529,Joe,,North Center,41.94363982,-87.68154739,Entire home/apt,275,2,9,4/15/2018,0.27,20,341,Chicago
145690,4BR/2BR Walk to North Ave Beach & Zoo~Close to El,683529,Joe,,Lincoln Park,41.91350805,-87.63929446,Entire home/apt,475,2,32,5/11/2018,0.84,20,338,Chicago
165952,"Two Bedroom, One Bathroom Apartment",791089,Conrad,,Lake View,41.94274277,-87.67321401,Entire home/apt,198,3,53,6/13/2018,0.63,4,353,Chicago
166667,Cozy Garden Studio ,791089,Conrad,,North Center,41.9427444,-87.67377761,Entire home/apt,125,3,72,7/8/2018,0.84,4,322,Chicago
166706,"Three Bedroom, Two Bathroom Combo Apartment",791089,Conrad,,Lake View,41.94221334,-87.6732679,Entire home/apt,280,3,21,7/10/2017,0.25,4,316,Chicago
172616,ALONZO: Cool Ukrainian Village Art-filled Flat,3908,Layne,,West Town,41.89752659,-87.67315488,Entire home/apt,115,3,55,10/16/2016,0.65,1,150,Chicago
175511,2BR/2BA Condo in Chicago,837429,Petru,,Irving Park,41.96011818,-87.72157979,Entire home/apt,47,5,14,12/1/2017,0.17,1,320,Chicago
184764,Room w/private bath -kid friendly,886362,Julie,,Portage Park,41.94325158,-87.75403381,Private room,85,3,156,6/25/2018,1.85,1,333,Chicago
189821,Secret Garden Hip Logan Square,899757,Meighan,,Logan Square,41.92972929,-87.70119754,Entire home/apt,150,2,370,7/1/2018,4.44,1,196,Chicago
192652,Urban Oasis--Wicker Park Vintage,906713,Stephanie,,West Town,41.9013595,-87.679734,Private room,70,2,284,6/30/2018,3.36,2,230,Chicago
198135,Darling Damen Dwelling (with bike if you like),85708,Sarah,,North Center,41.95935102,-87.67963451,Private room,44,2,133,6/13/2018,1.65,1,35,Chicago
207218,Historic Pullman Artist Flat,1019125,Jb,,Pullman,41.68830467,-87.60892493,Entire home/apt,100,1,218,7/1/2018,2.61,1,344,Chicago
221109,1 Bedroom Apartment -Noble Square,1146738,Zeyna,,West Town,41.89272704,-87.65653716,Entire home/apt,115,5,105,7/6/2018,1.27,1,72,Chicago
223777,Bohemiam Bedroom in Hip 'Hood,1163561,Elizabeth & Mike,,West Town,41.90121895,-87.69640926,Private room,70,1,39,6/24/2018,0.66,1,304,Chicago
225314,Cozy & comfy with AC close to California Blue Line,1173654,Jillian,,Logan Square,41.92542935,-87.69592682,Private room,75,2,18,9/16/2017,0.25,1,347,Chicago
228273,Amazing Lincoln Park Location!!,1190842,Brandon,,Lincoln Park,41.9312564,-87.65227338,Private room,109,2,41,6/18/2018,0.49,1,332,Chicago
