id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,area
3372,Private Guest House with Courtyard.,4307,Eric,,Unincorporated Areas,36.0385416,-115.1210202,Entire home/apt,89,2,305,3/18/2018,2.59,1,11,ClarkCounty
3979,Chan's House: Up to 4 Bedrooms,5117,Chan,,Unincorporated Areas,36.13277,-115.2097976,Private room,60,1,103,5/27/2018,0.94,3,345,ClarkCounty
31388,Las Vegas MGM Signature Condo,134746,Anwar,,Unincorporated Areas,36.10519827,-115.1677666,Private room,195,2,5,3/9/2017,0.05,1,346,ClarkCounty
44495,Bedroom with private bath in SW LV,195560,Lenore,,Unincorporated Areas,36.01221732,-115.297776,Private room,38,2,27,5/28/2018,0.31,1,169,ClarkCounty
97632,Comfort & Convenience 1.8 miles from the Strip,65101,Joselyn,,Unincorporated Areas,36.11592009,-115.2002924,Private room,67,1,335,7/21/2018,3.82,1,210,ClarkCounty
113019,MGM Signature Studio W/ Strip View!,575684,LasVegasSuites,,Unincorporated Areas,36.10730649,-115.1646703,Entire home/apt,129,2,128,7/9/2018,1.56,16,277,ClarkCounty
114140,MGM Signature 1BR/2BA Suite W/ View,575684,LasVegasSuites,,Unincorporated Areas,36.10870324,-115.1657091,Entire home/apt,139,2,97,6/8/2018,1.32,16,361,ClarkCounty
137104,Vegas Luxury Palms Place Penthouse,670587,Mark,,Unincorporated Areas,36.11363205,-115.1996975,Entire home/apt,1900,2,50,10/2/2017,0.58,1,353,ClarkCounty
143096,Furnished Las Vegas House with Pool,694506,Shari,,Unincorporated Areas,36.05150386,-115.2258094,Entire home/apt,150,2,133,7/29/2018,1.54,1,347,ClarkCounty
161848,1 B/R Condo 2 miles W. Of The Strip,773999,Ken,,Unincorporated Areas,36.09733744,-115.211243,Entire home/apt,70,1,101,7/30/2018,1.37,2,334,ClarkCounty
169335,Private room for rent with private bath,806881,Jeven And Lesley,,City of Las Vegas,36.23246687,-115.2712305,Private room,65,31,33,3/18/2018,0.63,2,123,ClarkCounty
200680,"Pool Villa - Pool Table, 15 mins to Strip",981582,Jason & Kevin,,Unincorporated Areas,36.1043832,-115.2898412,Entire home/apt,268,2,55,6/3/2018,0.69,8,343,ClarkCounty
201619,Las Vegas Luxury house with pool,974021,Natalie,,Unincorporated Areas,36.07766529,-115.2739016,Entire home/apt,250,4,54,8/1/2018,0.64,2,310,ClarkCounty
202452,Las Vegas Excitement/Romantic Stay,991487,Duke,,Unincorporated Areas,36.0203128,-115.2739044,Entire home/apt,138,2,134,7/29/2018,1.67,1,281,ClarkCounty
212339,"The 2810 Private Estate -  Sand Beach,  Concierge",1095192,Reed Allen,,Unincorporated Areas,36.08380673,-115.1114018,Entire home/apt,2750,3,12,7/31/2018,0.51,2,275,ClarkCounty
216324,Chan's House: Bedroom 2 (B2) or B3,5117,Chan,,Unincorporated Areas,36.13198691,-115.2096153,Private room,50,1,98,6/17/2018,1.17,3,348,ClarkCounty
216979,1 Bedroom Condo 2 miles West of The Strip,773999,Ken,,Unincorporated Areas,36.0975651,-115.2116321,Entire home/apt,75,1,2,6/4/2018,0.77,2,334,ClarkCounty
236170,6 Bed Shared Room ON Las Vegas Blvd!!!,1238040,Chandler,,City of Las Vegas,36.15550636,-115.1486407,Shared room,26,1,91,7/5/2018,1.13,3,263,ClarkCounty
243305,las Vegas holiday resort 1 week  (51),65714,John,,Unincorporated Areas,36.10808288,-115.1687784,Entire home/apt,135,6,0,,,1,209,ClarkCounty
250640,March Madness on The Strip!,1314138,Paul,,Unincorporated Areas,36.10675093,-115.1729987,Entire home/apt,10,2,21,3/18/2018,0.28,7,4,ClarkCounty
258872,Your home away from home awaits!,1360561,Rosa,,City of Las Vegas,36.15303493,-115.1488415,Entire home/apt,195,2,120,7/22/2018,1.5,1,147,ClarkCounty
294706,Quality Vacation in 3.5 star Resort Suite,1523583,Robert,,Unincorporated Areas,36.06046349,-115.1708738,Entire home/apt,100,3,2,7/23/2018,0.1,1,31,ClarkCounty
326525,Las Vegas Dream Vacation Home,974021,Natalie,,Unincorporated Areas,36.08731077,-115.2229873,Entire home/apt,150,3,27,1/5/2016,0.36,2,124,ClarkCounty
353122,"Vegas Villa - Air Hockey, 8 mins to the Strip",981582,Jason & Kevin,,Unincorporated Areas,36.09733189,-115.2312858,Entire home/apt,199,2,47,7/23/2018,0.6,8,352,ClarkCounty
379026,"Month/Month - 1BR+ Private Bath, long term OK",1903260,Elisabeth,,City of Las Vegas,36.15514883,-115.2837644,Private room,23,30,14,1/25/2018,0.3,1,359,ClarkCounty
405623,Las Vegas' Best Private Pool!,764634,Joshua,,Unincorporated Areas,36.04427081,-115.1193702,Private room,80,1,0,,,1,365,ClarkCounty
426562,"Mountain Villa - Ping Pong Table, 15 mins to Strip",981582,Jason & Kevin,,Unincorporated Areas,36.10731442,-115.2953229,Entire home/apt,188,2,28,7/26/2018,0.62,8,361,ClarkCounty
434893,"manoka properties. quiet,peaceful.",2160441,Tyler,,Unincorporated Areas,36.120842,-115.1468275,Entire home/apt,200,150,0,,,1,365,ClarkCounty
440128,2 BED/LOFT GATED TOWNHOUSE W POOL,2186589,Colby,,Unincorporated Areas,36.01386343,-115.1692996,Entire home/apt,145,31,12,10/1/2017,0.16,1,305,ClarkCounty
444280,"studio  with private entrance,close to the strip",2207130,Guy & Larissa,,Unincorporated Areas,36.02848066,-115.2015445,Private room,99,1,23,9/27/2014,0.3,14,365,ClarkCounty
448160,Beautiful Villa in VEGAS,2225816,Jack,,Unincorporated Areas,36.05089215,-115.1331669,Private room,63,3,96,7/29/2018,2.01,1,49,ClarkCounty
548524,Beautifully Remodeled Home by Strip,2694714,Alex,,City of Las Vegas,36.15233535,-115.1321325,Entire home/apt,213,2,107,7/28/2018,1.75,1,283,ClarkCounty
559871,condo in Las Vegas Tropicana,103427,Magalie,,Unincorporated Areas,36.10072271,-115.2464353,Entire home/apt,225,1,0,,,3,365,ClarkCounty
569039,3 Bedroom Condotti House,2513328,Ana,,City of Las Vegas,36.1537964,-115.2890718,Entire home/apt,139,28,30,7/12/2018,0.72,1,365,ClarkCounty
576367,2BR/2BA CENTER STRIP No Resort Fees! Free Parking!,1772843,Sheila And Herb,,Unincorporated Areas,36.10939476,-115.1755945,Entire home/apt,205,3,54,5/21/2018,0.74,10,213,ClarkCounty
588895,MGM Signature Deluxe Suite!,575684,LasVegasSuites,,Unincorporated Areas,36.10836357,-115.1644386,Entire home/apt,119,3,97,6/25/2018,1.34,16,284,ClarkCounty
595927,"Palms Place Rated ""R"" Luxury Suite",2945172,Padzu,,Unincorporated Areas,36.11498098,-115.1984481,Private room,84,2,121,5/22/2018,1.66,2,140,ClarkCounty
601124,1 BR Center Strip Suite-NoResort Fees/FreeParking!,1772843,Sheila And Herb,,Unincorporated Areas,36.10984645,-115.1761417,Entire home/apt,135,3,52,10/15/2017,0.72,10,225,ClarkCounty
635548,Quiet Room 15 mins from the Strip 1,2269240,Rama,,Unincorporated Areas,36.11275074,-115.2826501,Private room,37,2,135,7/7/2018,1.89,8,351,ClarkCounty
639353,MGM Signature 1BR/2BA Suite!,575684,LasVegasSuites,,Unincorporated Areas,36.10752431,-115.1663554,Entire home/apt,139,2,74,7/22/2018,1.03,16,358,ClarkCounty
640625,MGM Signature Junior Suite!,575684,LasVegasSuites,,Unincorporated Areas,36.1086223,-115.1665232,Entire home/apt,128,2,140,7/31/2018,1.92,16,266,ClarkCounty
