id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,area
90676,Short North - Italianate Cottage,483306,Audra & Lacey,,Near North/University,39.98394409,-83.00321438,Entire home/apt,198,1,215,7/14/2018,2.61,3,109,Columbus
497808,Priv. 1st Flr Mattress - N.Campus,2350409,Eddie,,Near North/University,40.01068503,-83.00937707,Private room,20,3,16,6/27/2018,0.28,4,213,Columbus
543140,Private 2nd Floor Room -- N.Campus,2350409,Eddie,,Near North/University,40.01242982,-83.00986287,Private room,47,2,85,7/12/2018,1.17,4,265,Columbus
591101,The Bellows' Studio Loft  (3rd floor apartment),2889677,Gail,,Near East,39.96085516,-82.97968311,Private room,100,2,164,7/15/2018,2.27,1,349,Columbus
681145,2BR Family Home-Central-Cozy-Quiet,3468444,Vicki,,Near North/University,40.0189809,-83.00067351,Entire home/apt,90,2,110,5/13/2018,1.56,1,288,Columbus
859157,Historic Home 5min CMH & Downtown,4497477,Abigail,,Near East,39.97227739,-82.95800074,Private room,100,1,92,7/8/2018,1.41,1,331,Columbus
923248,Single Bed in a 5-Person Coed Dorm at the Hostel,4965048,Mathew,,Near North/University,40.01192965,-83.00142259,Shared room,30,1,105,6/24/2018,1.6,7,348,Columbus
927867,Full Private Room at the Hostel,4965048,Mathew,,Near North/University,40.01150447,-83.00082671,Private room,60,1,23,6/21/2018,0.39,7,351,Columbus
1217678,Comfortable rooms in Clintonville 1,5707733,Russell & Douglas,,Clintonville,40.03828062,-83.01837782,Private room,75,1,132,7/1/2018,2.15,2,321,Columbus
1286887,Better than a hotel! German Village,78761,Jeff & Stevo,,Near South,39.9470028,-82.99073546,Entire home/apt,199,3,96,7/6/2018,1.61,2,338,Columbus
1321192,Right downtown! Beautiful Historic Old Oaks Home,5856018,Luke,,Near South,39.95353329,-82.96724598,Entire home/apt,235,1,37,7/1/2018,0.64,2,358,Columbus
1336145,Comfortable rooms in Clintonville 2,5707733,Russell & Douglas,,Clintonville,40.03689061,-83.01830304,Private room,75,1,100,6/8/2018,1.68,2,325,Columbus
1520102,Single Bed in a 3-Person Coed Dorm at the Hostel,4965048,Mathew,,Near North/University,40.01369818,-83.0010662,Shared room,32,1,32,6/14/2018,0.59,7,345,Columbus
1541333,OSU/Victorian Village B&B,8215843,Lynn,,Near North/University,39.98685956,-83.01346959,Private room,650,2,14,4/22/2018,0.24,2,309,Columbus
1572814,Newly Renovated Charming Townhome,8361110,Kristen,,Near South,39.93986392,-82.98419706,Entire home/apt,85,7,26,7/1/2018,0.68,3,57,Columbus
1681195,Charming & close to German Village,8361110,Kristen,,Near South,39.93871013,-82.98035247,Entire home/apt,85,7,36,6/17/2018,0.62,3,60,Columbus
1763836,Charming 1BR Apt in Clintonville,7785489,Nancy,,Near North/University,40.01796413,-83.00266859,Entire home/apt,85,3,59,7/8/2018,1.03,4,350,Columbus
1900779,"Urban Oasis near Short North, OSU - Free WiFi",9870556,Lisa,,Near North/University,39.98520024,-83.01300274,Entire home/apt,157,2,13,7/15/2018,0.25,1,322,Columbus
2031035,Historic Old Oaks Home - Downtown!,5856018,Luke,,Near South,39.95192327,-82.96644331,Entire home/apt,112,1,17,6/24/2018,0.42,2,356,Columbus
2134901,Terrific Apt just south of OSU,6466841,Linda,,Near North/University,39.98743158,-83.01669358,Entire home/apt,180,2,21,7/8/2018,0.39,5,308,Columbus
2141251,Heart of German Village,9554827,Josh,,Near South,39.95098101,-82.99418957,Private room,60,1,502,7/1/2018,9.42,1,225,Columbus
2172026,Mid-Century Sweet Little Apartment,6466841,Linda,,Near North/University,39.98669894,-83.01120893,Entire home/apt,150,2,16,5/21/2018,0.29,5,326,Columbus
2196955,Close to OSU and Riverside Hospital,11043646,Curt,,West Olentangy,40.02356432,-83.03218417,Private room,50,1,31,6/1/2018,1.1,2,56,Columbus
2227278,German Village Getaway,11366166,Tina,,Near South,39.94097531,-82.98737107,Entire home/apt,265,4,3,10/29/2017,0.12,1,323,Columbus
2232202,Short North Neat/Clean Apartment,6466841,Linda,,Near North/University,39.97994703,-83.00778717,Entire home/apt,150,2,34,6/18/2018,0.66,5,198,Columbus
2262958,Great apartment with extra rooms,6466841,Linda,,Near North/University,39.98701772,-83.01135509,Entire home/apt,160,2,22,11/4/2017,0.45,5,257,Columbus
2278955,Eco friendly!  Quiet neighborhood.,11627907,Diana,,North Linden,40.01400673,-82.94067242,Private room,65,1,54,7/8/2018,1,1,89,Columbus
2284335,Clean  House Close Downtown/OSU,4911015,Natalia,,Clintonville,40.02789438,-83.02263837,Entire home/apt,86,1,172,7/8/2018,3.2,2,252,Columbus
2333143,Merion Village: Heritage BrickHouse,11917334,Todd,,Near South,39.93242637,-82.98716708,Entire home/apt,169,2,161,7/15/2018,3.15,2,246,Columbus
2349920,"Comfy, Chic Short North Home w/Free Parking",10776491,Catherine & Bryan,,Near North/University,39.98616994,-83.00370745,Entire home/apt,249,1,67,7/15/2018,1.25,2,230,Columbus
2642205,Comfortable nice Bedroom,13527293,Danny,,Eastland/Brice,39.92098405,-82.82188548,Private room,50,1,5,10/13/2017,0.17,1,365,Columbus
2651184,R&R for you in central Columbus,8242061,Jeana,,North Linden,40.04208648,-82.99478382,Private room,45,1,60,7/8/2018,1.16,1,6,Columbus
2784609,Cozy and Close to German Village,8361110,Kristen,,Near South,39.93956937,-82.97998656,Entire home/apt,85,7,18,7/3/2018,0.4,3,58,Columbus
3193181,LUXURY LIVING on a budget,16184897,Toya,,South Linden,40.00869988,-82.97471789,Entire home/apt,70,1,102,7/9/2018,2.04,4,80,Columbus
3217988,Modern urban private retreat,16185253,John,,Near North/University,39.97651713,-82.99982521,Entire home/apt,325,2,21,6/18/2018,0.9,1,349,Columbus
3479063,Private bdrm 5min from downtown,10150669,Jessica,,Near South,39.9418078,-82.96513727,Private room,25,1,77,5/21/2018,2.19,3,60,Columbus
3489746,Retreat in the City - River view,17572985,Leslie,,West Scioto,40.04729031,-83.09824852,Private room,159,1,41,7/9/2018,0.84,2,364,Columbus
3497601,Retreat in the city - Garden view,17572985,Leslie,,West Scioto,40.04754444,-83.09844723,Private room,149,1,15,6/10/2018,0.37,2,359,Columbus
3640815,Cute & Clean Bungalow in Clintonville,2628753,Samantha,,Near North/University,40.01890498,-83.00339363,Private room,40,1,87,7/15/2018,1.82,1,128,Columbus
3731977,Relaxation Near Easton (Sky),18986310,Alissa,,Rocky Fork-Blacklick,40.09093417,-82.88549323,Private room,50,1,15,4/27/2018,0.4,2,328,Columbus
3940646,The Manor-  3rd FL. Loft Apt. - Close to Downtown,19532241,Tawana,,Near East,39.96553105,-82.97665166,Entire home/apt,89,1,89,7/2/2018,5.92,2,152,Columbus
3975468,"Serial Entrepreneur-Ship (""S.E.S"")",16184897,Toya,,South Linden,40.00898707,-82.97533761,Private room,45,1,45,5/21/2018,0.99,4,165,Columbus
4016219,Entire Upstairs of GermanVill House,20824351,Maurice,,Near South,39.9505608,-82.9902382,Private room,65,2,39,6/24/2018,0.84,1,360,Columbus
4270750,"Modern, Loft-like Apartment in Arena District",11505816,Michael,,Downtown,39.96842013,-83.00835052,Entire home/apt,137,1,233,7/8/2018,5.08,1,345,Columbus
4291668,Private Studio w/ Gas Fireplace @ GEMINI & IKEA,11288291,Teresa Addison,,Far North,40.15219699,-82.96164439,Entire home/apt,95,1,57,6/3/2018,1.31,1,259,Columbus
4396402,"Luxury, near downtown",16385747,Howard,,Near East,39.9680239,-82.97097819,Private room,70,2,59,6/15/2018,1.37,1,359,Columbus
4558073,Clean House Close OSU/MAPFRE/Short North,4911015,Natalia,,Clintonville,40.02762633,-83.02085061,Entire home/apt,99,1,20,6/30/2018,2.28,2,252,Columbus
4679761,King Private Room at the Hostel,4965048,Mathew,,Near North/University,40.01320016,-83.00186838,Private room,70,1,13,7/1/2018,0.51,7,349,Columbus
4708350,Cozy Room to Lay Your Head,24335524,Aj,,Rocky Fork-Blacklick,40.07641281,-82.90180033,Private room,125,1,0,,,1,365,Columbus
4735630,"Upscale, private, and close to campus and downtown",24421564,Garry,,West Scioto,39.99409902,-83.08320563,Private room,110,1,9,7/8/2018,0.27,1,365,Columbus
4760598,Light-filled Room in Modern Clintonville Home,5208270,Adam,,Clintonville,40.03160942,-83.01955578,Private room,49,2,23,7/8/2018,1.63,1,4,Columbus
4812659,Charming 3 bedroom Home,8814762,Ashley & Andrew,,North Linden,40.04354788,-82.98538797,Entire home/apt,99,4,28,5/19/2018,0.68,2,13,Columbus
5074771,"Gorgeous, Cozy 4BR Modern Home",6074096,Randy,,Far North,40.08494752,-83.00690811,Entire home/apt,160,2,4,9/4/2016,0.1,1,197,Columbus
5091530,Full condo in Short North location!,26304551,Dan,,Near North/University,39.97524164,-83.00407552,Entire home/apt,95,2,97,7/9/2018,2.29,1,167,Columbus
5153058,"Comfy Room, Quiet Neighborhood. Must love dogs!",22929487,Melanie,,North Linden,40.04178851,-82.96913573,Private room,45,2,35,6/24/2018,0.86,1,4,Columbus
5232411,German Village townhouse in the sky,78761,Jeff & Stevo,,Near South,39.94890639,-82.99491663,Entire home/apt,199,3,45,6/30/2018,1.25,2,359,Columbus
5297763,"Comfy 3 bed duplex, Short North area, Sleeps 8",27439453,Ingrid & Mike,,Near North/University,39.98878727,-83.00255231,Entire home/apt,140,1,157,7/8/2018,4.15,9,252,Columbus
5372431,Frequent Traveler's Comfort Zone,24503470,Erica,,Northeast,40.01026977,-82.92709151,Private room,35,1,59,6/25/2018,1.51,2,70,Columbus
5396611,"Stylish /Downtown,OSU",27964222,Bonnie,,Hilltop,39.9507827,-83.0839539,Private room,55,1,117,7/8/2018,2.86,1,161,Columbus
5434648,Cozy Bedroom/ bathroom close I-70 & 270 & Hilliard,28193759,Diane,,Far West,39.98348814,-83.12071583,Private room,46,1,33,7/15/2018,7.17,1,64,Columbus
5533834,Large Short North House,28695156,Miles,,Near North/University,39.98296483,-82.99870598,Entire home/apt,295,1,96,6/24/2018,2.35,4,350,Columbus
5535278,The Schiller Room- On the Park GV,28694314,Jim,,Near South,39.94348628,-82.98923785,Entire home/apt,115,1,148,6/4/2018,3.74,1,358,Columbus
5580209,Comfy bedroom with unshared bath near downtown,28929522,Annette And TJ,,Near East,39.97063193,-82.95925176,Private room,75,2,25,6/24/2018,0.64,2,228,Columbus
5593187,Loft steps from Convention,25322294,Sarah,,Downtown,39.9731562,-83.00305251,Entire home/apt,165,2,14,3/5/2018,0.37,1,28,Columbus
5603963,Studio+ on Clark,13868350,Toni,,Near North/University,39.98950768,-83.00783099,Entire home/apt,79,2,258,7/11/2018,6.38,2,56,Columbus
5820556,Short North Facing High Street!,119415,Douglas,,Near North/University,39.99054549,-83.00517355,Entire home/apt,119,2,100,7/8/2018,2.53,1,253,Columbus
5854666,Nice BD/ off street parking/Shabat,25144683,Joe,,Eastmoor/Walnut Ridge,39.96927326,-82.92155695,Private room,75,2,7,11/19/2017,0.29,1,365,Columbus
5859019,Tiny House Rainbow Bungalow,28808319,Pilgrim Heidi,,Clintonville,40.02895141,-83.02386641,Entire home/apt,50,1,193,7/13/2018,4.89,1,344,Columbus
5945411,Relaxation Near Easton (Sand),18986310,Alissa,,Rocky Fork-Blacklick,40.08938545,-82.88539766,Private room,50,1,18,6/17/2018,0.48,2,330,Columbus
6077472,A warm family welcome,29957849,Marketa,,West Olentangy,40.04267572,-83.09029229,Entire home/apt,55,2,43,7/9/2018,1.8,1,336,Columbus
6177642,Glenbrook House Park-like Relaxing Setting,3967436,Thom & Jan,,Clintonville,40.04624816,-83.01639515,Private room,70,1,125,7/15/2018,3.25,1,300,Columbus
6214751,1 Bedroom Lower Level Apartment,31349526,Bill & Michael,,Near East,39.96610478,-82.9651207,Entire home/apt,99,1,112,7/8/2018,2.9,1,158,Columbus
6246570,Modern/Historic with a street view.,28025453,James,,Near South,39.94480102,-82.98325053,Private room,49,2,119,5/28/2018,3.08,1,244,Columbus
6287586,ENTIRE 3 BR EXECUTIVE IN OSU AREA,32686087,Steve & Sarah,,South Linden,40.00772327,-82.99478975,Entire home/apt,110,1,261,6/22/2018,6.77,2,286,Columbus
6391158,"Your  Home in Columbus ,Ohio 43230",33321292,Figen,,Rocky Fork-Blacklick,40.06224676,-82.85429261,Private room,48,1,65,7/7/2018,1.71,2,361,Columbus
6416756,Your home in Columbus 43230,33321292,Figen,,Rocky Fork-Blacklick,40.06192589,-82.85435565,Private room,53,1,53,2/26/2018,1.4,2,340,Columbus
6423005,The Perfect Pad All To Yourself,4355510,Nils,,Near North/University,39.97388249,-83.00451127,Entire home/apt,125,3,139,6/24/2018,3.91,1,339,Columbus
6490155,10 minutes from Airport &  Easton,33917644,Shell,,Northeast,40.03176207,-82.92221508,Private room,69,2,73,7/8/2018,1.91,1,327,Columbus
6527620,Entire place in Short North w/ parking spot,17821129,Geoff,,Near North/University,39.98841845,-83.00742702,Entire home/apt,75,2,56,6/24/2018,1.51,2,3,Columbus
6569920,German Village Apartment - Schiller,7093660,Jessica,,Near South,39.94110852,-82.99102746,Entire home/apt,82,1,115,6/15/2018,3.03,1,9,Columbus
