id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,area
360,LoHi Secret garden at the Chickadee Cottage,666,Jennifer & Giovanni,,Highland,39.76703329,-105.0025641,Entire home/apt,140,1,0,,,3,328,Denver
590,Comfortable  - and a great value!,933,Jill,,North Park Hill,39.75360861,-104.9123727,Private room,61,1,532,5/28/2018,4.68,2,83,Denver
592,private,933,Jill,,North Park Hill,39.75437978,-104.9115568,Private room,42,30,142,7/28/2017,1.24,2,119,Denver
686,Alexandra's Uptown Queen Bed Room,990,Alexandra,,North Capitol Hill,39.74502961,-104.977564,Private room,70,2,231,7/8/2018,1.91,3,299,Denver
930,Top Floor with balcony 420 Friendly,1147,Marilyn,,Washington Park,39.70881246,-104.9674743,Private room,99,3,16,3/14/2017,0.32,1,365,Denver
1940,Baker Studio Close to EVERYTHING,2150,Joanne,,Baker,39.71981036,-104.9964871,Entire home/apt,95,2,16,7/27/2018,0.87,1,101,Denver
21745,Alexandra's Uptown King Bed Room plus,990,Alexandra,,North Capitol Hill,39.74513092,-104.9790278,Private room,65,2,214,7/22/2018,2.12,3,296,Denver
21746,Alexandra's Uptown Full Bed Room,990,Alexandra,,North Capitol Hill,39.74487449,-104.9775797,Private room,60,3,236,3/14/2018,2.33,3,44,Denver
31503,Highland Park Guest House,135298,Rick,,West Highland,39.76215946,-105.0286599,Entire home/apt,110,3,35,7/14/2018,0.36,1,322,Denver
39405,LoHi Secret garden at the Mulberry Cottage,666,Jennifer & Giovanni,,Highland,39.76588303,-105.0054518,Entire home/apt,111,1,490,7/15/2018,5.04,3,300,Denver
41284,Purrfect 2BR bsmt suite btwn Lowry & Cherry Creek!,178508,Lisa,,Washington Virginia Vale,39.71036336,-104.9130725,Private room,90,1,74,7/24/2018,6.15,1,143,Denver
56185,charming home for your vacation,266051,Kate,,North Park Hill,39.7532151,-104.933345,Entire home/apt,300,3,62,7/7/2018,0.68,1,309,Denver
58598,Apartment in Historic Congress Park,280583,Carey,,Congress Park,39.73730413,-104.9561557,Entire home/apt,94,2,525,7/27/2018,5.67,1,0,Denver
59631,VICTORIAN TOWNHOME DOWNTOWN,1496,Julie,,Five Points,39.74947215,-104.9761126,Entire home/apt,179,1,136,7/22/2018,1.56,2,333,Denver
74125,Spacious Cap Hill Condo (built in 1889) with yards,385864,Joe,,Capitol Hill,39.73275786,-104.9803521,Entire home/apt,120,3,83,5/28/2018,0.97,1,33,Denver
81540,Affordable S. Denver Guest House,98912,Jess,,Overland,39.66786894,-104.989686,Entire home/apt,75,5,134,7/15/2018,1.5,1,278,Denver
90307,Comfy King Size Room (Park Hill),489506,Doreen,,South Park Hill,39.74954523,-104.9323886,Private room,90,1,163,7/24/2018,2.04,2,79,Denver
98008,"Beautiful sun filled queen, close to everything!",297382,James,,Five Points,39.74926575,-104.9748178,Private room,70,2,191,7/29/2018,2.17,2,310,Denver
98014,Beautiful single steps to Downtown,297382,James,,Five Points,39.74865493,-104.9752151,Private room,60,2,181,6/18/2018,2.06,2,333,Denver
142683,Historic Denver City Park Condo,692622,Nancy,,City Park,39.74145038,-104.94845,Entire home/apt,145,1,256,7/11/2018,2.97,1,310,Denver
172196,Luxury Wash Park Home Great for Families,526354,Michael,,Washington Park,39.69687702,-104.9623163,Entire home/apt,411,3,21,7/23/2018,0.25,1,322,Denver
177942,Sky Gallery at Promenade Lofts,448794,Tyler,,Union Station,39.75479736,-105.005166,Entire home/apt,195,2,115,7/29/2018,1.35,1,335,Denver
182353,Private Suite - 2017-BFN- (Phone number hidden by Airbnb),874113,Tatiana,,Hampden South,39.65282867,-104.9109892,Private room,80,30,88,8/14/2017,1.03,1,333,Denver
184529,HIP SUITE IN  WEST  HIGHLANDS DENVER,134798,Lonna,,West Highland,39.76715773,-105.0434962,Private room,35,30,6,1/3/2016,0.08,2,352,Denver
192430,TREETOP VIEW BEDROOM - Dwntwn./East,923646,Kate,,South Park Hill,39.74159659,-104.9361303,Private room,40,30,110,9/23/2017,1.3,1,167,Denver
217715,Room w/own Bath near University,1124687,Yvonne And Desmond,,University Park,39.67063358,-104.9535856,Private room,89,1,13,9/5/2017,0.18,1,342,Denver
236207,Denver Penthouse GreatViews $9 to DIA+FREEMallRide,1238201,Dave,,Union Station,39.75474853,-105.0053344,Entire home/apt,235,2,56,1/1/2018,0.76,1,154,Denver
242859,Modern Cherry Creek Hot-Spot (Denver),1275154,Brenda,,Cherry Creek,39.71557907,-104.9416035,Entire home/apt,150,3,80,7/10/2018,0.97,1,339,Denver
259616,Amazing location! Walk to Downtown Denver!,1362862,Christine,,Highland,39.76580953,-105.0148251,Entire home/apt,250,2,95,7/8/2018,1.17,1,224,Denver
276530,Apt in Washington Park Home,1439537,Rick & Deana,,Washington Park,39.70087862,-104.9617163,Entire home/apt,75,4,143,7/20/2018,1.78,2,8,Denver
283162,2000 SF-Lodo Club Style Condo,1475137,Lee,,Union Station,39.75034707,-104.9962367,Entire home/apt,300,4,1,7/3/2018,1,1,365,Denver
286732,House on Stout: Prairie,1154806,Ellen,,Five Points,39.75288646,-104.9819954,Private room,70,2,125,7/17/2018,2.49,3,68,Denver
287392,Sloan's Lake Urban Farm and Garden Craftsman Home,1396664,Tara,,West Colfax,39.74285557,-105.0491847,Entire home/apt,250,3,0,,,1,180,Denver
364585,Washington Park Stunning Townhouse,930851,Nicholas,,Washington Park West,39.69858948,-104.9813034,Entire home/apt,205,14,123,5/29/2018,1.58,1,285,Denver
370209,Private room in the nest - w/bathroom,269892,Maura,,Baker,39.71816389,-104.9962038,Private room,70,1,48,7/22/2018,1.3,1,305,Denver
413549,Original Historic 1880 Farmhouse,2057455,Jason,,Sunnyside,39.77609767,-105.0114395,Entire home/apt,247,2,57,7/30/2018,0.84,1,324,Denver
440769,Mini Sweet/RINO City Park,1810376,Jimbo,,Clayton,39.76670063,-104.9549815,Private room,40,1,522,7/27/2018,6.86,4,325,Denver
