id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,area
6422,Nashville Charm,12172,Michele,,District 6,36.17315146,-86.73581296,Private room,40,1,490,7/12/2018,4.37,1,208,Nashville
20847,East Nashville Retro Ranch!,79021,Kristina,,District 7,36.1963965,-86.70426665,Private room,41,1,130,5/28/2018,1.28,3,150,Nashville
25341,East Nashville Retro Ranch BR #2,79021,Kristina,,District 7,36.19705261,-86.70493705,Private room,65,1,91,6/27/2018,0.92,3,178,Nashville
25342,East Nashville Retro Ranch BR #3,79021,Kristina,,District 7,36.19711512,-86.70445441,Private room,70,1,5,9/25/2016,0.05,3,0,Nashville
25613,108 Year Old East Nashville Home,95811,Nell,,District 6,36.17826309,-86.74162212,Private room,93,2,427,7/12/2018,4.27,1,306,Nashville
39870,Close to Vanderbilt 2,171184,Evelyn,,District 18,36.12522905,-86.81277968,Private room,50,1,89,7/11/2018,4.01,2,145,Nashville
72906,Vandy/Belmont/10 mins to Broadway - Sunny 800 sqft,176117,Richard Carson,,District 18,36.13059677,-86.800451,Entire home/apt,90,2,468,7/8/2018,5.42,1,265,Nashville
80410,Historic East Nashville  1906 with Hot Tub!,432441,Paul,,District 6,36.17839355,-86.74866056,Private room,95,2,214,7/9/2018,2.4,2,297,Nashville
125579,"Uberhip 12th South, Walk Everywhere",624167,Mary Elizabeth,,District 17,36.13054398,-86.78762158,Entire home/apt,195,1,117,7/11/2018,1.36,1,128,Nashville
136015,Apart. on the Ridge near Opryland,666322,Dave And Peggy,,District 15,36.19463575,-86.6719539,Entire home/apt,96,30,49,7/31/2017,0.57,4,251,Nashville
142002,Peaceful Ranch/Woods by Downtown/Airport (Monthly),690088,Darby & Melina,,District 16,36.12214237,-86.71472323,Entire home/apt,129,31,7,6/24/2018,0.09,1,90,Nashville
258817,"ButterflyRoom,Morningstar, 3-12mo, open May, 2018",22296,Diana,,District 12,36.16249334,-86.58988497,Private room,29,2,95,8/21/2017,1.18,7,229,Nashville
280842,3 Bedroom House on the Greenway,666322,Dave And Peggy,,District 15,36.19408922,-86.67320171,Entire home/apt,135,3,145,7/7/2018,1.9,4,317,Nashville
289242,"MorningstarHouse, NiceRoom-monthly, open mid April",22296,Diana,,District 12,36.1610225,-86.5920651,Private room,28,2,75,6/2/2017,0.94,7,255,Nashville
319705,"SuperSweetSTUDIO, jacuzzi, monthly stay- Aug 1st",22296,Diana,,District 12,36.16296322,-86.59186559,Private room,35,30,45,6/12/2017,0.57,7,347,Nashville
325560,Vandy/Belmont Special Lux Condo!,1665174,Heather,,District 17,36.13101971,-86.78210206,Entire home/apt,107,1,232,6/17/2018,3.17,3,77,Nashville
329997,Cottage with courtyard! Private! 5 mins to Dwntown,1684051,Rick,,District 19,36.17641124,-86.79845966,Entire home/apt,75,1,733,7/10/2018,9.41,6,97,Nashville
340081,"MorningstarHouse, colorful, monthly-avail in July",22296,Diana,,District 12,36.1612784,-86.58985915,Private room,28,2,76,5/23/2018,0.98,7,346,Nashville
366339,Artist Home and Treehouse East Nash,1511167,Sloane And Emily,,District 8,36.22791874,-86.73884318,Entire home/apt,250,2,22,3/28/2018,0.29,2,88,Nashville
371066,Historic East Nashville,1869331,Ron,,District 6,36.18461673,-86.73794822,Private room,89,2,277,7/9/2018,5.26,1,268,Nashville
395889,Contemporary-Mod Paradise w/ Private Bathroom,1547584,Kurt,,District 6,36.16492427,-86.75010073,Private room,95,1,173,7/1/2018,2.33,1,340,Nashville
421290,Private Red Suite/King Bed/Wetbar/Bath/5 min to DT,1684051,Rick,,District 19,36.17277367,-86.7933073,Entire home/apt,75,1,600,7/9/2018,8.08,6,15,Nashville
430052,"Private Vaulted Suite! King,Wet Bar,Bath/5 min DT!",1684051,Rick,,District 19,36.17323043,-86.79176835,Private room,75,1,614,7/6/2018,8.29,6,24,Nashville
431258,"2Bdrms/2,5 baths, 5 mins to Downtown! Sleeps 4!",1684051,Rick,,District 19,36.17663021,-86.80003345,Entire home/apt,125,1,354,7/9/2018,4.75,6,275,Nashville
475134,Nashville on the Range,1643782,Katy,,District 17,36.11693486,-86.78936972,Entire home/apt,137,3,94,6/24/2018,1.28,1,353,Nashville
491172,French Flair #1 : The Paris room,2427763,Dody &Rodney,,District 5,36.18756387,-86.74720551,Private room,84,1,285,6/24/2018,3.82,2,342,Nashville
501570, French Flair #2: The Loire room ,2427763,Dody &Rodney,,District 6,36.19140968,-86.74371183,Private room,84,1,216,7/8/2018,2.92,2,347,Nashville
513664,Cozy and Convenient in Donelson!  ,2530554,Lori,,District 14,36.15478084,-86.64911943,Private room,90,2,27,6/29/2015,0.42,1,285,Nashville
609655,Charming 2BR/1 BA/Kitchen in lovely Inglewood,3023101,Jeannie,,District 7,36.21607654,-86.70865859,Entire home/apt,99,30,271,1/2/2017,3.82,1,193,Nashville
632636,"Penthouse Suite/Rooftop Terrace,Jacuzzi,DT 5min!",1684051,Rick,,District 19,36.17325874,-86.79358418,Entire home/apt,125,1,141,7/8/2018,1.95,6,27,Nashville
634515,12 South  Loft on Belmont Blvd,2078813,Daniel,,District 18,36.12989322,-86.79583124,Entire home/apt,89,2,84,6/27/2018,1.24,1,324,Nashville
641688,West Nashville Clean Quiet Private ,3206011,Alex,,District 22,36.06816905,-86.94125863,Private room,39,31,113,4/20/2018,1.57,1,329,Nashville
648088,Heart of Music Row  PRIVATE SUITE (600 sq FT),3250769,Robyn,,District 19,36.14448551,-86.7908712,Private room,115,2,276,7/8/2018,3.89,2,283,Nashville
674159,A Clean Quiet Suite in a Great Location,3422455,John,,District 6,36.17242349,-86.73741579,Entire home/apt,200,2,219,7/1/2018,3.25,1,360,Nashville
681880,Luxurious Rustic Cozy Guesthouse,3471162,Tiffany,,District 7,36.21628101,-86.70935388,Entire home/apt,89,2,447,6/29/2018,6.36,1,122,Nashville
914787,Stay Near Downtown Nashville!,4910520,Sky Share Management,,District 19,36.17631052,-86.78266665,Entire home/apt,175,1,236,6/13/2018,3.63,6,353,Nashville
939940,East Nashville Suite On the River,1195300,Jeff,,District 7,36.22926173,-86.71072429,Private room,80,2,252,7/8/2018,3.86,1,31,Nashville
