id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,area
10291,Spacious Cottage in Mid-City!,31004,Jill,,Navarre,29.98666321,-90.10928208,Entire home/apt,300,2,87,7/22/2018,0.96,1,358,NewOrleans
19091,Fully Furnished Cozy Apartment,72880,John,,Leonidas,29.96256563,-90.11876978,Entire home/apt,100,1,398,8/5/2018,3.93,1,325,NewOrleans
32250,Maisonette; Steps to St Charles Ave,138383,Ariana,,Central City,29.9336548,-90.08403175,Entire home/apt,140,3,396,7/9/2018,4.33,2,0,NewOrleans
53173,$99 SUMMER DEAL!  BEST REVIEWS!  WALK > FQ,12154,Karen,,St. Claude,29.96483236,-90.03905718,Private room,115,3,126,5/30/2018,1.34,2,352,NewOrleans
53544,Historical Bywater Mother in Law Cottage,249527,Lee,,Bywater,29.96697172,-90.03068379,Entire home/apt,50,5,166,7/11/2018,1.74,1,74,NewOrleans
54254,Less than 1 mile to French Quarter,74821,Heidi,,St. Roch,29.97041267,-90.05485006,Entire home/apt,65,3,193,7/19/2018,2.12,2,138,NewOrleans
62562,Historic House Loyal's Place whole apartment,304657,John,,Treme - Lafitte,29.97117872,-90.07253857,Entire home/apt,325,2,0,,,8,89,NewOrleans
62658,Historic Marigny Creole Home,297668,Lorelei,,Bywater,29.965224,-90.05084901,Entire home/apt,200,3,64,7/9/2018,0.69,2,24,NewOrleans
66972,The Retreat in Lovely Bayou St John,329415,Geoff,,Bayou St. John,29.97590193,-90.08143542,Entire home/apt,123,2,182,7/11/2018,1.97,2,352,NewOrleans
71624,Ravenwood Manor (Historic Bywater),367223,Susan,,St. Claude,29.96611945,-90.0366842,Entire home/apt,130,2,194,7/9/2018,2.13,1,349,NewOrleans
74498,Maison Marais 1: Large Local Living,391462,Georgia,,St. Roch,29.97052814,-90.05332187,Entire home/apt,105,3,419,7/15/2018,4.65,3,276,NewOrleans
76674,Luxury & history in the Big Easy #1,409545,Matt McShee,,Bywater,29.9618956,-90.03588529,Private room,99,3,154,7/9/2018,2.3,2,159,NewOrleans
79536,SpaciousCleanFunctional Private Apt,428362,Miriam,,Seventh Ward,29.97871699,-90.07405177,Entire home/apt,91,3,396,7/8/2018,4.48,1,60,NewOrleans
79542,Beautiful Room Uptown Home - License 17STR-10083,428397,James,,Marlyville - Fontainbleau,29.94480629,-90.11201061,Private room,80,3,25,5/9/2018,0.32,1,361,NewOrleans
79609,Moon Over Mazant Bywater's First and Best!,428909,Stephen,,St. Claude,29.96544521,-90.037032,Entire home/apt,102,3,255,7/18/2018,2.83,1,253,NewOrleans
80869,"Frenchmen House ""Red Room""",437783,Joanne,,Marigny,29.96771508,-90.06018627,Private room,75,1,563,7/15/2018,6.27,3,254,NewOrleans
82922,HONEYMOON/ANNIVERSARY SUITE COUPLES,451478,Kennon Avec Ma Femme,,Tall Timbers - Brechtel,29.92162725,-90.02800649,Entire home/apt,75,4,26,7/14/2018,0.45,3,176,NewOrleans
82930,NOLA Chateau,451478,Kennon Avec Ma Femme,,Tall Timbers - Brechtel,29.92166937,-90.02710867,Entire home/apt,55,3,24,7/10/2018,0.48,3,173,NewOrleans
83877,NOLA'S STUDIO central to everything,2935610,Whitney,,Treme - Lafitte,29.96716988,-90.06733206,Entire home/apt,100,2,538,7/29/2018,6.04,4,129,NewOrleans
89173,Marginy BnoB by Frenchman!,486093,Virginia,,Marigny,29.96415436,-90.05990569,Entire home/apt,130,3,308,7/29/2018,3.52,3,206,NewOrleans
90806,Live Like a Local in Mid-City,485705,Tom,,Mid-City,29.97286597,-90.10188148,Entire home/apt,96,4,125,5/29/2018,1.5,1,336,NewOrleans
101101,SHIRO'S SUITE - central & cute!,2935610,Whitney,,Treme - Lafitte,29.96541449,-90.06706322,Entire home/apt,99,2,466,7/25/2018,5.3,4,128,NewOrleans
107325,"BUNNY'S suite, walk everywhere!",2935610,Whitney,,Treme - Lafitte,29.96710308,-90.06656059,Entire home/apt,95,2,438,7/22/2018,4.99,4,117,NewOrleans
148382,Lush Sanctuary Steps to St Charles!,138383,Ariana,,Central City,29.93372011,-90.08374542,Entire home/apt,135,3,377,6/27/2018,4.43,2,0,NewOrleans
162525,True NaWlins Flavor,776684,Leslie,,St. Claude,29.96648505,-90.04209124,Entire home/apt,120,4,265,8/3/2018,3.13,3,210,NewOrleans
182312,SHOGAS SUITE - close to everything,2935610,Whitney,,Treme - Lafitte,29.96629361,-90.06793595,Entire home/apt,89,2,427,7/28/2018,5.02,4,119,NewOrleans
183207,"Frenchmen House ""Rose Room""",437783,Joanne,,Marigny,29.96740965,-90.05994924,Private room,75,1,545,7/22/2018,6.52,3,155,NewOrleans
204998,Hilaire Suite- Near French Quarter,1006034,Villere,,Treme - Lafitte,29.96558698,-90.06835538,Entire home/apt,200,3,142,4/15/2018,1.7,3,357,NewOrleans
