id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
3083,B-Love's Guest House Room #2,3518,Traci,,Prescott,37.80832309563817,-122.29300202825617,Private room,65,3,22,2018-07-06,0.46,6,167
3264,Garden Suite - Heart of Temescal,3241,Rebecca,,Temescal,37.83593063863259,-122.26109619224947,Private room,53,5,35,2017-12-19,0.32,5,68
5739,Mod Studio,9276,Leah And Gyorgy,,Oakland Ave-Harrison St,37.81503416233956,-122.26212300711548,Entire home/apt,100,3,190,2018-07-02,1.73,1,6
11022,Rockridge Bungalow - Walk to All!,40142,Michelle,,Shafter,37.83771066134043,-122.25190732701228,Entire home/apt,135,3,98,2018-07-10,1.36,3,227
23637,Share this charming home with me!,93339,Mika,,Montclair,37.82924856462702,-122.20966492147816,Private room,69,7,40,2018-06-18,0.39,1,314
24916,Rockridge Studio w/garden and Patio,98716,Judy,,Piedmont Avenue,37.833255245651884,-122.25033159987416,Entire home/apt,89,30,97,2018-05-04,0.99,2,289
25473,Luxury Flat w/Mediterranean Garden—Upper Rockridge,106078,Lori,,Upper Rockridge,37.83688078210343,-122.23184339751087,Entire home/apt,141,7,17,2017-08-24,0.18,1,105
29521,Sunny Rockridge Home,124220,Kymi,,Shafter,37.837436233520414,-122.2578870591045,Entire home/apt,150,7,32,2016-10-13,0.38,2,0
31573,Rockridge  Craftsman Brown Shingl,98716,Judy,,Piedmont Avenue,37.83302254758375,-122.25022554479789,Entire home/apt,185,30,97,2018-06-19,1.04,2,296
36702,North Oakland craftsman bungalow,119361,Vito,,Bushrod,37.842375119472294,-122.26623927854975,Entire home/apt,110,7,17,2018-05-18,0.18,1,182
43343,Charming Flat - Easy Access to SF,147060,Jonathan,,Bushrod,37.84466439465321,-122.26414115666672,Entire home/apt,199,7,11,2018-04-03,0.24,1,243
45870,Comfortable Rockridge Guest Room,77555,Vicki,,Shafter,37.83794878215803,-122.2593811956158,Private room,93,2,32,2018-02-24,0.39,1,355
46787,Art filled Room - Central Temescal,3241,Rebecca,,Temescal,37.83455152242561,-122.26102437689934,Private room,70,5,15,2017-06-21,0.16,5,140
55255,En Suite.  Full Privacy.  Breakfast.  Value.,260773,Pat And Lynn,,Lakewide,37.808712009081226,-122.2594458535567,Private room,90,2,371,2018-07-15,3.98,1,280
56273,1st floor bedroom with queen bed and bath,266510,Joyce,,Mosswood,37.82761329951505,-122.2582529352596,Private room,65,2,2,2016-07-19,0.08,2,0
59621,Hillside home in Piedmont,286588,Michael,,Piedmont,37.81980411857776,-122.21255003715328,Entire home/apt,125,1,0,,,1,0
62214,"Sunny ""treehouse"" rms near Piedmont",294697,Susan,,Piedmont Avenue,37.82467885503499,-122.25066723223559,Private room,68,2,270,2018-07-11,3.03,1,301
76251,Nice room near Highland Hospital,406693,Andrew,,Lynn-Highland Park,37.79685291514477,-122.23641660970158,Private room,33,3,48,2018-06-23,0.55,2,0
82024,Immaculate Rockridge In-law Oakland,445712,Dodie,,Shafter,37.83923127748021,-122.2573167736078,Entire home/apt,119,2,192,2018-06-28,2.16,1,305
85974,Modern Sunny Rockridge Cottage,471600,Ericka,,Shafter,37.84341442327995,-122.25242938735117,Entire home/apt,148,3,189,2018-07-15,2.17,1,321
87259,Paris in Oakland just off Piedmont Ave,478021,Lupe,,Piedmont Avenue,37.82616432303118,-122.252337617255,Entire home/apt,129,5,19,2018-06-04,0.60,1,262
95615,Panoramic Sky,508853,Steffan,,Panoramic Hill,37.86939864193726,-122.24153373604304,Entire home/apt,2800,1,8,2017-10-14,0.21,1,359
135004,"Gorgeous,Old World, View House",644952,Kathryn,,Lincoln Highlands,37.80693037346544,-122.20628237867926,Entire home/apt,225,2,1,2015-08-07,0.03,1,344
136250,"Miniature House, Studio Style, SAFE Neighborhood",667229,Mark,,Merriwood,37.83722465935667,-122.21270114933341,Entire home/apt,89,4,5,2018-01-12,0.27,1,210
142544,"Bayview, Forested 1,700 sqft Montclair Home-Views",691378,Willard,,Lincoln Highlands,37.80606638137522,-122.19469604538455,Entire home/apt,230,2,27,2018-07-03,0.32,3,25
150527,Live/Work in Artist's Community.,725353,Sage,,South Kennedy Tract,37.77285568747689,-122.23149405364404,Entire home/apt,89,5,4,2017-07-27,0.09,1,8
151422,Walkable Best Area ~ Green Sanctuary w/ porch,729004,Amy,,Adams Point,37.80894609547831,-122.25239501489716,Entire home/apt,108,6,6,2018-03-29,0.14,1,15
151426,3+bedroom/3 bathroom house with a View of Oak & SF,729027,Lindsey,,Golf Links,37.75765039828954,-122.1530561535175,Entire home/apt,249,4,15,2017-07-31,0.18,1,182
155368,Art Filled Oakland Hills Beauty,728977,Susan,,Upper Rockridge,37.84615266759987,-122.23431417902137,Entire home/apt,150,3,213,2018-06-11,2.50,1,245
169599,Charming Garden Oasis 1bd apt.,808353,Marlene,,Millsmont,37.77891966896401,-122.17625882050534,Entire home/apt,75,2,163,2018-06-24,1.94,1,312
184781,Lovely Rooms in Montclair Hills,886458,Rick,,Montclair,37.833841465449396,-122.2047463655575,Private room,105,2,7,2018-07-04,0.09,3,313
191182,Great views in Oakland Hills Home,886458,Rick,,Montclair,37.83373947473468,-122.205397498363,Entire home/apt,200,2,49,2017-12-27,0.58,3,77
200696,Convenient Colorful Sunny Space,11583,Shanna,,Prescott,37.81101190351873,-122.29862190206421,Private room,55,7,24,2016-06-30,0.29,2,0
202426, Charming Berkeley Oakland Border,240781,Rachel,,Bushrod,37.85215995805666,-122.26416484953191,Entire home/apt,83,3,0,,,1,0
208186,"Private room with bath, and cat!",1024552,LaurieAnn,,Cleveland Heights,37.80647923057375,-122.2444759315265,Private room,69,2,190,2018-07-12,2.31,1,323
215929,super loft adventure,709484,BReN,,Golden Gate,37.84043553238385,-122.28519475842407,Private room,89,1,176,2018-01-09,2.12,2,257
235160,secret attic hideout,709484,BReN,,Paradise Park,37.84628594186662,-122.27873553878555,Private room,79,2,30,2018-02-28,0.37,2,325
237270,Lovely Victorian flat 1 blk to BART,1244345,Liesl,,Temescal,37.82987553067028,-122.264361679102,Entire home/apt,102,2,33,2016-09-07,0.40,1,196
242472,Spacious Suite in Rockridge Home,1272555,Amy,,Shafter,37.842656099845904,-122.2522833581949,Private room,95,2,153,2018-06-28,1.86,1,324
248764,Private & Serene  Montclair/Oakland,1303404,Ted And Stefanie,,Glen Highlands,37.837086094127095,-122.21798411134219,Entire home/apt,120,2,168,2018-06-18,2.11,1,149
253308,Hip Bohemian Artist's Studio,1329994,Nancy,,Oakland Ave-Harrison St,37.82023438794687,-122.25646864710275,Entire home/apt,72,2,325,2018-07-08,4.00,1,303
