id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
22772,Getaway at Lovers Pt. Pacific Grv,87827,Amie,,Pacific Grove,36.622579561738,-121.91679824404707,Entire home/apt,299,29,68,2016-08-01,0.68,1,83
41014,Ocean front 6-bedroom masterpiece,174738,Kirstie,,Pacific Grove,36.63241765619369,-121.93790760074802,Entire home/apt,1100,2,81,2018-06-06,0.92,1,185
44515,Pet-Friendly* Cottage Near Beach (PG Lic#0090),195732,Erika & Blake,,Pacific Grove,36.6258296464783,-121.9341536639528,Entire home/apt,150,2,714,2018-07-19,7.38,1,122
89210,"CA Dreaming w/Ocean View, King Bed, Gardens",130577,Sarah,,Pacific Grove,36.60438275256319,-121.92720687653838,Entire home/apt,135,1,841,2018-07-28,9.47,1,262
857942,"Lovely Studio, walk to Lovers Point  Lic#0367",4488236,Virginia,,Pacific Grove,36.624812754289145,-121.92012535540053,Entire home/apt,167,2,105,2018-07-15,1.59,1,319
1031734,"Top Rated,Ocean View,Spa,Fireplace",227482,Dan,,Pacific Grove,36.60324327855821,-121.92723105499323,Entire home/apt,500,1,156,2018-07-30,2.46,1,258
1721177,Ocean View Townhome at Lover's Pt.,9073236,Barb,,Pacific Grove,36.62366594164817,-121.91558908269506,Entire home/apt,425,1,201,2018-07-26,3.43,2,307
1721186,Beautiful Villa With Ocean View,9073236,Barb,,Pacific Grove,36.62455488129884,-121.91660092361909,Entire home/apt,389,1,114,2018-07-15,1.98,2,326
1856739,"Vacation condo in Pacific Grove/Monterey, CA",2555967,Pam,,Pacific Grove,36.622591429489034,-121.9183997796324,Entire home/apt,180,1,0,,,1,0
1909416,Historic John Steinbeck's Cottage,5517174,Kevin & Vicky,,Pacific Grove,36.61458272125907,-121.91033339550467,Entire home/apt,230,2,187,2018-07-17,3.29,1,200
1918627,"Pacific Grove Blue House, Walk to Town and Beach!",9946932,Maria,,Pacific Grove,36.61594064439376,-121.92017696864887,Entire home/apt,225,2,376,2018-07-08,6.57,1,98
1967404,Private Cottage - Concours d’elegance -,4076733,Carol,,Pacific Grove,36.605813887210616,-121.91680878475925,Entire home/apt,75,30,40,2017-03-31,0.73,1,349
