id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,area
41974,Englewood Cottage,183514,Ruth,,Ward 1,44.94404281,-123.0099597,Entire home/apt,80,2,130,8/6/2018,1.37,1,160,Salem
199568,Garden studio apt,974919,Sara,,Ward 1,44.95195862,-123.0562741,Entire home/apt,75,5,141,12/7/2017,1.67,2,59,Salem
226880,quiet room with a view,974919,Sara,,Ward 1,44.95203986,-123.0567915,Private room,35,1,72,7/26/2018,0.94,2,52,Salem
900778,Spacious Flat in Historic Home,4811368,Corrine,,Ward 1,44.94419769,-123.0111604,Entire home/apt,105,2,167,8/3/2018,2.51,1,245,Salem
1159564,SOLAR ECLIPSE - A,2185672,Roberta,,Ward 3,44.88415553,-123.0434092,Private room,175,2,2,8/30/2013,0.03,1,365,Salem
2461065,Studio retreat on 7 acres,4582644,Jay And Cynthia,,Ward 7,44.87476887,-123.0802746,Entire home/apt,70,1,232,8/5/2018,4.35,1,160,Salem
2894591,Quiet and cozy home in South Salem.,14613038,Sue,,Ward 7,44.90753897,-123.076882,Private room,50,1,174,7/1/2018,3.44,1,313,Salem
4394073,Warm and Welcoming in Downtown.,22810342,Michael,,Ward 1,44.94801181,-123.0222894,Private room,65,2,99,10/14/2016,2.17,1,221,Salem
4785215,Century House Doug Fir Room,10502090,Jean,,Ward 2,44.93447583,-123.0210331,Private room,85,1,66,7/22/2018,1.51,3,317,Salem
6853136,CAPITOL CITY RETREAT,7975048,Darlene,,Ward 4,44.85606042,-123.0203892,Private room,67,1,92,8/5/2018,2.41,2,360,Salem
6975705,CAPITOL CITY RETREAT 2,7975048,Darlene,,Ward 4,44.85588998,-123.0202974,Private room,63,1,39,8/5/2018,1.04,2,353,Salem
7293821,Chauffeurs Room @ the Villa,38202007,Julie,,Ward 7,44.92483678,-123.049899,Entire home/apt,90,1,199,8/7/2018,5.34,1,45,Salem
