id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,area
6,Large Craftsmen w/ yard ~ Perfect for families,29,Sara,,North Hills,32.75399316,-117.1297052,Entire home/apt,295,2,144,6/17/2018,1.17,1,2,SanDiego
5570,Ocean front condo on the sand,8435,Jef Karchin'S MISSIONBEACHRETREAT,,Mission Bay,32.78430362,-117.2525782,Entire home/apt,2050,3,0,,,2,281,SanDiego
8095,Sunset Cliffs Studio,270,Marin,,Ocean Beach,32.73517047,-117.2437929,Entire home/apt,84,2,178,11/2/2015,1.62,1,0,SanDiego
14668,Close to Everything in San Diego,57636,Mary,,Mira Mesa,32.93110405,-117.1526853,Private room,72,1,185,3/18/2018,1.81,1,318,SanDiego
29967,"Great home, 10 min walk to Beach",129123,Michael,,Pacific Beach,32.80724022,-117.2563042,Entire home/apt,225,4,57,7/11/2018,0.58,5,341,SanDiego
38245,ComiCon:  3 nights +1 night=4,164137,Melinda,,Roseville,32.74201977,-117.2187007,Private room,54,2,135,6/9/2018,1.41,3,269,SanDiego
39516,Art Studio Retreat/Rustic Cabin,169649,Chris  And Jean,,North Hills,32.73188418,-117.1191796,Entire home/apt,69,3,324,7/8/2018,3.33,1,292,SanDiego
45429,OB cottage SD--view on waterway,197919,Melissa,,Loma Portal,32.748768,-117.2293714,Entire home/apt,160,2,6,7/28/2014,0.07,1,289,SanDiego
54001,"La Jolla Peaceful: Sitting Room, Breakfast",252692,Marsha,,La Jolla,32.81189591,-117.269516,Private room,135,2,154,7/7/2018,1.68,4,243,SanDiego
62274,"charming, colorful, close to beach",302986,Isabel,,Pacific Beach,32.80733699,-117.2424322,Entire home/apt,68,2,435,6/30/2018,4.69,2,267,SanDiego
62949,Pacific Beach Cozy Unit Best Deal with Bikes!,21532,Lisa,,Pacific Beach,32.80961245,-117.2305625,Entire home/apt,75,1,451,7/14/2018,6.28,2,99,SanDiego
67441,Canyon apartment hideaway,332552,Peter,,College Area,32.76364836,-117.076749,Entire home/apt,90,3,3,7/13/2015,0.08,5,165,SanDiego
69385,"Mission Beach, San Diego, CA  House with Garage",347408,Kimberly,,Mission Bay,32.78646396,-117.2543378,Entire home/apt,250,3,157,6/30/2018,1.74,1,9,SanDiego
75668,San Diego Living by JA 2,401936,Johnathon,,North Hills,32.7473038,-117.1442342,Private room,50,2,158,6/15/2018,1.86,2,192,SanDiego
77785,Old Town San Diego,417659,Alicia,,Old Town,32.74810235,-117.1916516,Entire home/apt,150,3,10,7/4/2018,2.05,1,32,SanDiego
79300,San Diego living by JA 1,401936,Johnathon,,North Hills,32.74593831,-117.1440586,Private room,59,2,143,6/17/2018,1.6,2,221,SanDiego
103416,"La Jolla Charm: Breakfast, Blks to Ocean",252692,Marsha,,La Jolla,32.81226488,-117.2691109,Private room,90,2,122,10/11/2017,1.41,4,0,SanDiego
103417,La Jolla Retreat-Garden View-Breakfast,252692,Marsha,,La Jolla,32.81280285,-117.2674698,Private room,125,2,137,6/2/2018,1.63,4,183,SanDiego
103420,"La Jolla Serene: Private Patio, Breakfast",252692,Marsha,,La Jolla,32.81252881,-117.2677218,Private room,145,2,102,4/17/2018,1.25,4,234,SanDiego
103720,Gaslamp Room - Hillcrest House Bed & Breakfast,507423,Ann,,Midtown,32.74885951,-117.165287,Private room,149,1,41,6/23/2018,0.48,5,250,SanDiego
103841,Peaceful & Private Bedroom/Bath,541128,Flo,,North City,32.95923047,-117.2328425,Private room,59,2,76,5/18/2018,0.88,1,255,SanDiego
108349,3Br Townhome Steps to Beach & Shops,546519,Juliana,,Pacific Beach,32.79659724,-117.2532866,Entire home/apt,209,2,108,6/16/2018,1.29,2,305,SanDiego
117896,"La Jolla  Beach Paradise, San Diego",470998,Miriam,,La Jolla,32.81069701,-117.2610919,Private room,89,1,163,6/27/2016,1.95,3,0,SanDiego
119063,Cheery Yellow Beach House,601369,Yellow Beach House,,Pacific Beach,32.7975735,-117.247404,Entire home/apt,178,3,14,8/6/2017,0.16,1,339,SanDiego
123990,Laid-Back Luxe San Diego,479932,Amber,,Rancho Penasquitos,32.99091011,-117.1667259,Entire home/apt,475,5,7,12/30/2015,0.08,1,288,SanDiego
126344,3Br House 2 Blocks to Beach Pets Ok,546519,Juliana,,Pacific Beach,32.80571602,-117.2593591,Entire home/apt,221,2,122,5/26/2018,1.49,2,260,SanDiego
132966,Water View Studio in Pacific Beach!,555739,Rosana,,Pacific Beach,32.80854653,-117.2583967,Entire home/apt,70,30,16,11/30/2017,0.23,1,141,SanDiego
141523,"Private spot, 2 blocks to dog beach!  Walk to all!",686496,Toni And Matt,,Ocean Beach,32.75067748,-117.2465381,Entire home/apt,115,2,284,7/13/2018,3.36,2,52,SanDiego
146886,"Downtown, Spacious and Bright with Balcony!",710122,Kelly,,Grant Hill,32.70803372,-117.1434054,Entire home/apt,79,7,13,4/18/2018,0.16,12,240,SanDiego
149548,Mission Bay Getaway - Near beaches!,721326,Olivia,,Bay Park,32.80156526,-117.200929,Private room,49,3,147,6/19/2018,1.74,3,161,SanDiego
149565,3 bed/1 ba Mission Bay House COMIC CON FANS,721326,Olivia,,Bay Park,32.80142301,-117.2014033,Entire home/apt,155,3,42,7/26/2017,0.5,3,282,SanDiego
161818,Golden Hills Loft/Apt,773869,Steve And Kyle(She'S A Girl),,Midtown,32.74182517,-117.1787466,Private room,79,28,50,10/9/2017,0.59,1,359,SanDiego
165967,MIKE'S PLACE - A PRIVATE  COTTAGE,790976,Mike,,West University Heights,32.75173354,-117.152838,Entire home/apt,125,2,428,7/13/2018,5.06,2,210,SanDiego
167022,Room and bath in home near beach.,795905,Franz,,Mission Bay,32.79486891,-117.2343339,Private room,55,2,151,4/2/2018,1.77,3,0,SanDiego
167804,"Mission Bay Retreat Studio, Near Beaches, La Jolla",721326,Olivia,,Bay Park,32.80040961,-117.201517,Private room,49,3,28,6/25/2018,0.39,3,161,SanDiego
168415,Artist Retreat Travel Twin room- pool home,766039,Pamela,,Bird Land,32.7824832,-117.1594248,Private room,65,3,55,6/30/2018,0.65,8,143,SanDiego
170421,Traveler's Haven 2 - Central to all,799669,Mary,,Mira Mesa,32.91122712,-117.1309909,Private room,50,2,49,4/28/2018,0.58,1,319,SanDiego
171212,Entire 3BR Condo Beautiful Del Mar!,816767,Kayvon,,Carmel Valley,32.94662856,-117.2324378,Entire home/apt,180,30,19,3/31/2018,0.29,1,108,SanDiego
172519,COMICON SATUR/NIGHT Upstairs Room/Pt. Loma,164137,Melinda,,Roseville,32.74129129,-117.218528,Private room,60,2,50,5/29/2018,0.59,3,171,SanDiego
