id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
958,"Bright, Modern Garden Unit - 1BR/1B",1169,Holly,,Western Addition,37.769310377340766,-122.43385634488999,Entire home/apt,170,1,152,2018-07-29,1.38,1,122
5858,Creative Sanctuary,8904,Philip And Tania,,Bernal Heights,37.745112331410034,-122.42101788836888,Entire home/apt,235,30,112,2017-08-06,0.99,1,365
7918,A Friendly Room - UCSF/USF - San Francisco,21994,Aaron,,Haight Ashbury,37.766689597862175,-122.45250461761628,Private room,65,32,17,2016-11-21,0.16,9,365
8142,Friendly Room Apt. Style -UCSF/USF - San Francisco,21994,Aaron,,Haight Ashbury,37.76487219421756,-122.45182799146508,Private room,65,32,7,2017-08-12,0.15,9,328
8339,Historic Alamo Square Victorian,24215,Rosy,,Western Addition,37.775248585892676,-122.43637374831292,Entire home/apt,675,7,26,2017-11-10,0.24,2,78
8567,Lovely 2BR flat Great Location,25601,Sandy,,Western Addition,37.78470745496073,-122.44555431261594,Entire home/apt,255,2,30,2018-07-20,0.27,1,12
8739,"Mission Sunshine, with Private Bath",7149,Ivan & Wendy,,Mission,37.75918889708064,-122.42236687240562,Private room,139,1,594,2018-07-27,5.41,2,130
9225,Artful Potrero Separate Floor with Garden,29674,Gae,,Potrero Hill,37.76258885144137,-122.40543055237004,Private room,135,1,411,2018-08-03,3.84,1,313
10251,Victorian Suite in Inner Mission,35199,Roman & Sarah,,Mission,37.75874294929672,-122.4132720164374,Entire home/apt,265,3,291,2018-07-23,2.69,1,268
10578,Classic Nob Hill Studio - Roof Deck,37049,Andrew,,Nob Hill,37.79142746368994,-122.41543567951581,Entire home/apt,120,30,18,2015-05-17,0.22,1,309
10819,Spacious 3BED/2BATH Apartment in Marina District,38836,Bernat,,Marina,37.80060135801387,-122.42504538133501,Entire home/apt,218,30,22,2015-12-14,0.34,41,218
10820,Haight Buena Vista Park Garden 3BR,38836,Bernat,,Haight Ashbury,37.771873721790115,-122.43859113023433,Entire home/apt,177,30,35,2015-12-14,0.33,41,249
