id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,area
11464,Deluxe Private Studio-custom int.,42458,Emey,,Santa Clara,37.34342049,-121.9882856,Entire home/apt,85,14,3,8/21/2016,0.06,16,365,SantaClaraCounty
11466,Bright and Airy 1BR,42458,Emey,,Santa Clara,37.34304682,-121.9883595,Entire home/apt,95,7,8,1/21/2015,0.1,16,339,SantaClaraCounty
21373,Bonsai Garden Inn in Professorville,7054,Mei Lin,,Palo Alto,37.44001312,-122.1566669,Private room,99,2,173,7/3/2018,1.75,4,142,SantaClaraCounty
23732,Heart of Silicon Valley bdrm & bath,2077,Igor,,Mountain View,37.39202932,-122.0667491,Private room,299,1,3,7/7/2011,0.03,1,365,SantaClaraCounty
29790,Private Guest Suite - Downtown MV,128411,Kristen,,Mountain View,37.38954665,-122.0790462,Private room,99,2,59,6/14/2018,0.98,1,46,SantaClaraCounty
37154,Private room in a 2 bed town home in Campbell,160433,Daniel,,San Jose,37.3021295,-121.9589031,Private room,61,1,1,6/26/2018,1,1,18,SantaClaraCounty
40560,MOST COMFORTABLE BED EVER,174725,Megan,,Palo Alto,37.45356152,-122.1373312,Private room,130,2,119,7/3/2018,1.25,2,265,SantaClaraCounty
44648,Charming room in West San Jose!!,196389,Joel,,San Jose,37.3265353,-121.949553,Private room,60,3,43,4/28/2018,0.58,4,34,SantaClaraCounty
52786,Cozy Room - Parking 3car carport,161741,Maria,,San Jose,37.30609612,-121.8419106,Private room,49,1,358,6/7/2018,3.82,1,344,SantaClaraCounty
62223,Comfy Couch in Safe Cupertino House,302695,Cassy&Taylor,,Cupertino,37.31367921,-122.0045088,Shared room,32,1,262,12/22/2016,2.85,2,187,SantaClaraCounty
62241,Private Room in Safe Cupertino Home,302695,Cassy&Taylor,,Cupertino,37.31316204,-122.0044514,Private room,58,1,240,12/6/2016,2.6,2,187,SantaClaraCounty
62799,Zen Office and Sofa in Palo Alto,7054,Mei Lin,,Palo Alto,37.4392529,-122.1561661,Private room,115,3,76,6/17/2018,1.53,4,311,SantaClaraCounty
75284,Garden Room Oasis Walk to Stanford,7054,Mei Lin,,Palo Alto,37.44156584,-122.1555305,Private room,95,2,133,6/24/2018,1.51,4,291,SantaClaraCounty
102491,Great Walkable Downtown Location,219326,Peg,,Mountain View,37.38817603,-122.0792167,Private room,94,2,119,4/9/2018,1.37,2,315,SantaClaraCounty
