id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,area
11879,Sunny room close to beach and parks,44764,Steven,,Unincorporated Areas,36.98186234,-121.8811412,Private room,60,2,23,7/23/2018,0.24,2,352,SantaCruzCounty
24548,Room with Private Entrance. No extra fees.,99532,Kerstin,,City of Santa Cruz,36.97167385,-121.9977445,Private room,85,1,317,7/26/2018,3.15,1,47,SantaCruzCounty
31721,Dog Friendly Private Pleasure Point Beach Cottage,136376,Annie,,City of Capitola,36.95926506,-121.9728179,Entire home/apt,190,1,101,7/25/2018,1.46,1,343,SantaCruzCounty
43785,Guest bedroom in Victorian home,191477,Caroline,,City of Santa Cruz,36.97694135,-122.0359996,Private room,85,1,280,7/27/2018,2.9,1,323,SantaCruzCounty
49520,Guest Cottage with shared bath,225721,Christine,,Unincorporated Areas,36.9632467,-121.8209126,Private room,95,2,136,5/29/2018,1.57,2,351,SantaCruzCounty
49523,Small room with shared bathroom,225721,Christine,,Unincorporated Areas,36.9631895,-121.8219468,Private room,75,2,202,5/29/2018,2.23,2,348,SantaCruzCounty
54948,Modern Beach House,258675,Terry & Clint,,City of Santa Cruz,36.96669792,-122.0126433,Entire home/apt,200,2,97,4/15/2018,1.03,3,0,SantaCruzCounty
57031,Sunny in nature quiet location,44764,Steven,,Unincorporated Areas,36.98196595,-121.8826209,Entire home/apt,165,4,0,,,2,351,SantaCruzCounty
59313,Rustic Sunset View Room on Mountain,283764,Marianna,,Unincorporated Areas,37.02408006,-121.9709984,Private room,150,1,50,7/9/2018,0.56,4,361,SantaCruzCounty
70829,Master Bedroom w/ Jacuzzi Tub,360285,Maisie,,City of Santa Cruz,36.98271316,-122.0265525,Private room,99,3,291,7/23/2018,3.19,1,99,SantaCruzCounty
72288,Cottage on the Creek/In Redwoods,366768,Cynthia,,Unincorporated Areas,37.08894803,-122.0433818,Entire home/apt,149,1,357,7/17/2018,3.97,5,287,SantaCruzCounty
126012,Santa Cruz Mtns. Dragonfly Cottage,625642,Mary Jane,,Unincorporated Areas,37.0327727,-121.8255382,Entire home/apt,169,1,240,7/20/2018,2.78,2,320,SantaCruzCounty
