id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,area
2318,"Casa Madrona - Urban Oasis, 1 block from the Park!",2536,Megan,Central Area,Madrona,47.61081928,-122.290816,Entire home/apt,296,4,19,6/25/2018,0.16,2,307,Seattle
4291,Sunrise in Seattle Master Suite,35749,Jess & Joey,Other neighborhoods,Roosevelt,47.68780101,-122.3134273,Private room,82,2,54,8/27/2017,0.88,5,342,Seattle
5682,"Cozy Studio, min. to downtown -WiFi",8993,Maddy,Delridge,South Delridge,47.5239795,-122.3598906,Entire home/apt,48,3,440,7/4/2018,4.34,1,175,Seattle
6606,"Fab, private seattle urban cottage!",14942,Joyce,Other neighborhoods,Wallingford,47.65410861,-122.3376053,Entire home/apt,90,2,122,7/8/2018,1.11,3,331,Seattle
9419,Glorious sun room w/ memory foambed,30559,Angielena,Other neighborhoods,Georgetown,47.5506197,-122.3201354,Private room,70,2,122,6/26/2018,1.26,5,329,Seattle
9460,Downtown/Convention Ctr B&B - Nice!,30832,Siena,Downtown,First Hill,47.60800998,-122.3287387,Entire home/apt,80,3,377,7/8/2018,3.49,4,188,Seattle
9531,The Adorable Sweet Orange Craftsman,31481,Cassie,West Seattle,Fairmount Park,47.55538926,-122.3847386,Entire home/apt,165,3,34,9/13/2017,0.43,2,234,Seattle
9534,The Coolest Tangerine Dream MIL! ,31481,Cassie,West Seattle,Fairmount Park,47.55623565,-122.3859805,Entire home/apt,125,2,32,1/16/2017,0.4,2,297,Seattle
9596,"the down home , spacious, central and fab!",14942,Joyce,Other neighborhoods,Wallingford,47.65478743,-122.3365199,Entire home/apt,120,2,65,6/24/2018,0.75,3,150,Seattle
9909,Luna Park Lower - West Seattle,33360,Laura,West Seattle,Fairmount Park,47.56520913,-122.3737475,Entire home/apt,125,2,51,6/9/2018,0.48,8,6,Seattle
10209,Stay here for a blast!!!!,31553,Mike & Cassandra,Delridge,High Point,47.55364569,-122.3632573,Private room,48,5,36,6/20/2018,0.34,4,139,Seattle
10385,Upscale Seattle Hotel Alternative ,35749,Jess & Joey,Northgate,Maple Leaf,47.69571858,-122.3119439,Private room,60,2,90,5/22/2018,0.84,5,340,Seattle
