id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,area
546,Spacious,903,Stephen,,Hennepin,44.8779113,-93.30654983,Private room,200,1,0,,,1,365,TwinCitiesMSA
771,Unique,1043,Tess,,Ramsey,44.94362756,-93.12007956,Shared room,280,1,0,,,1,365,TwinCitiesMSA
1359,Relax,1512,Dale,,Hennepin,44.89422291,-93.3663646,Private room,230,1,0,,,1,365,TwinCitiesMSA
2441,"Cozy Artist?€?s Abode, ENTIRE Home-Wifi,NetFlix +",2680,Emily,,Hennepin,45.00885816,-93.23406723,Entire home/apt,83,2,197,8/3/2018,1.84,2,44,TwinCitiesMSA
4534,"Charming, 1 or 2BR + private bath, near downtown",5811,Rachel,,Hennepin,44.94565791,-93.35721075,Private room,54,2,145,8/4/2018,1.46,1,341,TwinCitiesMSA
27319,"Parks, Lakes, Downtown, Light rail",117283,Keith,,Hennepin,44.91878026,-93.23037609,Private room,64,2,153,7/10/2018,1.6,2,338,TwinCitiesMSA
55089,"Minneapolis/Edina ""Cabin"" on Creek",238546,Leslie,,Hennepin,44.92053208,-93.35049114,Entire home/apt,150,2,22,2/5/2018,0.3,2,347,TwinCitiesMSA
60977,Attic Loft with organic breakfast,294621,Habib,,Ramsey,44.94799988,-93.19037291,Entire home/apt,65,3,20,8/7/2016,0.24,1,65,TwinCitiesMSA
68981,Guest Room,111098,Justin,,Hennepin,44.90730274,-93.31864596,Private room,170,1,0,,,1,365,TwinCitiesMSA
82439,Rest and Rehearsal Space,117283,Keith,,Hennepin,44.92136061,-93.22872851,Private room,64,2,14,1/6/2016,0.16,2,338,TwinCitiesMSA
101034,???ParkFront ??? Walk 2 Downtown ??? Bike Score 98???,529956,MPLSvr Angie,,Hennepin,44.98772803,-93.25060497,Entire home/apt,457,1,74,7/29/2018,0.99,7,307,TwinCitiesMSA
151243,"Norwegian Wood Retreat, LLC",728274,Debra,,Sherburne,45.52127748,-93.58260924,Entire home/apt,350,1,21,6/9/2018,0.35,5,289,TwinCitiesMSA
153430,"Two rooms, private entrance - centrally located",86984,Nan & Scott,,Hennepin,44.92883266,-93.27818534,Private room,90,2,64,2/5/2018,0.74,1,364,TwinCitiesMSA
166927,Victory Memorial Pkwy Tudor home close to downtown,795329,Shannyn,,Hennepin,45.01590595,-93.31960126,Private room,250,2,44,1/21/2016,0.6,1,83,TwinCitiesMSA
176709,PrivateRoom near University of Minnesota/Downtowns,688403,Delia,,Ramsey,44.97611057,-93.18980614,Private room,45,30,16,10/15/2017,0.25,3,315,TwinCitiesMSA
178017,Powderhorn home - sleeps four,540710,Leticia,,Hennepin,44.94204281,-93.24949108,Entire home/apt,79,4,13,7/4/2017,0.29,1,248,TwinCitiesMSA
183719,"Sunny, spacious South Minneapolis house",875982,Allison,,Hennepin,44.93806914,-93.25350041,Entire home/apt,60,1,3,5/2/2018,0.04,1,0,TwinCitiesMSA
195230,Old victorian on transit line,949211,Chris,,Ramsey,44.94722797,-93.17278419,Private room,80,2,7,7/26/2018,1.15,1,73,TwinCitiesMSA
205356,CLEAN-COZY-CENTRAL (MIDWAY),2645,Sam,,Ramsey,44.96465293,-93.1651217,Entire home/apt,69,2,153,8/5/2018,1.94,1,300,TwinCitiesMSA
217402,Heidi House in Heart of Minneapolis,1122705,Heidi,,Hennepin,44.96522277,-93.24530512,Private room,60,2,202,8/5/2018,3.72,3,337,TwinCitiesMSA
222449,House Near Como (Dogs welcome!) - Super Bowl,947600,Bl,,Ramsey,44.97361885,-93.11544912,Entire home/apt,1999,3,0,,,1,217,TwinCitiesMSA
231008,S&J#01~0!~2!BR1ba UofMDtwn10'Vault!*AUG11%OFF*,1207842,Scott & Jenna,,Hennepin,44.99224194,-93.23248973,Entire home/apt,166,1,10,10/22/2015,0.12,77,364,TwinCitiesMSA
233598,S&J#06~1ba JetTub&MallofAmerica!*AUG11%OFF*,1207842,Scott & Jenna,,Hennepin,44.94900591,-93.34774809,Entire home/apt,89,2,12,5/18/2018,0.16,77,359,TwinCitiesMSA
233600,S&J#05~2+BR1baJetTub!MallofAmarica!*AUG11%OFF*,1207842,Scott & Jenna,,Hennepin,44.94960174,-93.34660318,Entire home/apt,119,1,9,3/25/2018,0.12,77,343,TwinCitiesMSA
233664,S&J#16~1BR1ba CozyComfortDtwnUofM!*AUG11%OFF*,1207842,Scott & Jenna,,Anoka,45.04087066,-93.24878419,Entire home/apt,75,1,9,7/1/2017,0.11,77,269,TwinCitiesMSA
241674,S&J#08~3BR1ba Nr Beach&Fish&BBQFun!*AUG11%OFF*,1207842,Scott & Jenna,,Hennepin,44.94112884,-93.65713849,Entire home/apt,349,2,4,8/17/2015,0.05,77,365,TwinCitiesMSA
259668,???Skyline Views!???New House by DT???Great For Groups???,529956,MPLSvr Angie,,Hennepin,44.98951378,-93.23509697,Entire home/apt,310,1,39,7/1/2018,0.53,7,70,TwinCitiesMSA
276407,S&J#12~2BR1ba Uptwn Dtwn!*AUG11%OFF*,1207842,Scott & Jenna,,Hennepin,44.94769739,-93.34609171,Entire home/apt,139,2,18,4/1/2018,0.29,77,348,TwinCitiesMSA
279939,S&J#07X~6+BR2ba Uptown MOAGames!*AUG11%OFF*,1207842,Scott & Jenna,,Hennepin,44.92752083,-93.35755303,Entire home/apt,338,1,6,7/2/2017,0.08,77,346,TwinCitiesMSA
292011,S&J#03~3BR2ba! UofM! MallOfAmerica!*AUG11%OFF*,1207842,Scott & Jenna,,Hennepin,44.99224512,-93.23169311,Entire home/apt,264,1,3,5/20/2014,0.05,77,364,TwinCitiesMSA
305296,Large 3 BD/2 BT - Big Yard - Pet Friendly,392199,Jenna,,Hennepin,44.93705787,-93.46014638,Entire home/apt,199,7,3,7/7/2018,0.22,2,173,TwinCitiesMSA
305776,A song away from MSP,1572826,Conie,,Ramsey,44.90191516,-93.17481146,Private room,25,31,67,7/29/2018,2.56,1,150,TwinCitiesMSA
312083,S&J#09~1ba HobbitHaven! UoM Dtwn!*AUG11%OFF*,1207842,Scott & Jenna,,Hennepin,44.99397847,-93.23124541,Entire home/apt,99,1,9,5/28/2018,0.12,77,350,TwinCitiesMSA
312084,S&J#17 ~ Walk2All! On Bus Line!,1207842,Scott & Jenna,,Anoka,45.04097765,-93.24828293,Entire home/apt,134,1,9,7/22/2018,0.13,77,364,TwinCitiesMSA
317499,The Manor Master Chamber,1233357,Sean,,Ramsey,44.96943291,-93.11303839,Private room,72,1,181,8/2/2018,2.33,2,340,TwinCitiesMSA
