id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,area
3362,"Convention Center Rowhouse & In Law: 2 Units, 4BR",2798,Ayeh,,"Shaw, Logan Circle",38.91046091,-77.01933068,Entire home/apt,433,2,143,6/10/2018,1.24,5,110,Washington
3662,Vita's Hideaway II,4645,Vita,,Historic Anacostia,38.86192519,-76.98963435,Private room,75,2,35,6/2/2018,0.4,3,323,Washington
3663,Classic Rowhouse: Porch+ART+Parking,4617,Shawn & Richard,,"Brightwood Park, Crestwood, Petworth",38.95887599,-77.02553857,Entire home/apt,154,3,41,5/21/2018,0.43,2,0,Washington
3670,Beautiful Sun-Lit U Street 1BR/1BA,4630,Sheila,,"Howard University, Le Droit Park, Cardozo/Shaw",38.91841734,-77.02750026,Private room,75,2,78,6/22/2018,1.92,1,294,Washington
3686,Vita's Hideaway,4645,Vita,,Historic Anacostia,38.86313751,-76.98836211,Private room,65,2,67,10/29/2017,0.71,3,349,Washington
3771,Mt. Pleasant,4795,Charlene,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92760467,-77.0392648,Private room,88,1,1,1/21/2009,0.01,1,0,Washington
3943,Historic Rowhouse Near Monuments,5059,Heather,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91066468,-77.00437663,Private room,80,2,427,7/15/2018,3.81,1,25,Washington
4002,2 Bedroom Private Condo Suite (Basement Apt),5143,Anthony,,"North Michigan Park, Michigan Park, University Heights",38.94008357,-76.98935954,Entire home/apt,120,2,147,5/21/2018,1.27,1,350,Washington
4197,Bedroom in DC 2 blocks to Metro,5061,Sandra,,"Capitol Hill, Lincoln Park",38.88790588,-76.99667844,Private room,83,4,34,7/18/2018,0.3,2,142,Washington
4283,Adams Morgan Quiet Sunny Lrg 2 Bd w/Porch,5498,Eddie & Joanie,,"Kalorama Heights, Adams Morgan, Lanier Heights",38.92203154,-77.04447367,Entire home/apt,135,90,11,11/1/2015,0.11,1,322,Washington
4501,DC Rowhouse,1585,Kip,,"Shaw, Logan Circle",38.91330706,-77.02435774,Private room,475,2,120,7/16/2015,1.04,1,0,Washington
4529,Bertina's  House Part One,5803,Bertina'S House,,"Eastland Gardens, Kenilworth",38.90644939,-76.94305004,Private room,55,28,99,5/11/2018,0.91,3,179,Washington
5589,Cozy in Adams Morgan,6527,Ami,,"Kalorama Heights, Adams Morgan, Lanier Heights",38.919327,-77.04123783,Entire home/apt,118,2,72,6/16/2018,0.67,3,31,Washington
7202,Classic Rowhouse: Porch+Art+Parking,4617,Shawn & Richard,,"Takoma, Brightwood, Manor Park",38.9600039,-77.02425427,Private room,85,2,63,6/20/2018,1.69,2,47,Washington
8882,Mt.Pleasant ShabbyChic BnB #4 Pr. bath/Close-in DC,27696,Leslie,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93122146,-77.04016498,Private room,110,2,317,7/8/2018,2.93,4,320,Washington
9097,Adams Morgan Charm,6527,Ami,,"Kalorama Heights, Adams Morgan, Lanier Heights",38.92029483,-77.04205426,Shared room,45,1,95,6/28/2018,0.89,3,3,Washington
9641,Sophisticated Logan Circle Loft,32067,Melissa,,"Dupont Circle, Connecticut Avenue/K Street",38.9114648,-77.03636078,Entire home/apt,195,2,122,5/20/2018,1.2,4,348,Washington
10766,Hospitality@HillEast *****,38641,Gena,,"Capitol Hill, Lincoln Park",38.87805063,-76.98829591,Private room,99,3,68,3/24/2018,0.64,1,1,Washington
11785,Sanctuary near Cathedral,32015,Teresa,,"Cathedral Heights, McLean Gardens, Glover Park",38.92827751,-77.07638063,Entire home/apt,125,1,320,7/18/2018,3.08,4,358,Washington
12442,Peaches & Cream near Cathedral,32015,Teresa,,"Cathedral Heights, McLean Gardens, Glover Park",38.92743626,-77.07495926,Private room,69,1,50,6/21/2018,0.49,4,319,Washington
13744,"Heart of the City -HalfBlock to METRO, Restaurants",53927,Victoria,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92905178,-77.03084053,Entire home/apt,125,4,19,6/27/2018,0.19,1,348,Washington
13824,Natural Setting in DC,54317,Chris & Erin,,"Brightwood Park, Crestwood, Petworth",38.95845371,-77.0376367,Entire home/apt,100,1,128,7/15/2018,1.22,1,346,Washington
14218,Quiet Comfort near Nat'l Cathedral,32015,Teresa,,"Cathedral Heights, McLean Gardens, Glover Park",38.92699526,-77.07644551,Private room,69,1,73,5/28/2018,0.83,4,334,Washington
14570,Downtown Spacious Bedroom & Private Bath,56646,Serge,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90426843,-77.02655963,Private room,85,2,502,7/11/2018,4.87,1,299,Washington
16641,Dupont Circle Convenience,32067,Melissa,,"Dupont Circle, Connecticut Avenue/K Street",38.91380862,-77.04538348,Entire home/apt,150,2,60,6/21/2018,0.6,4,364,Washington
17131,The Loft near National Cathedral,32015,Teresa,,"Cathedral Heights, McLean Gardens, Glover Park",38.92708064,-77.0767997,Private room,69,1,61,4/1/2018,0.6,4,329,Washington
17380,[1477-2W] Luxury 2BR in Logan Circle High Rise,25188,Seamless,,"Shaw, Logan Circle",38.90635218,-77.03271243,Entire home/apt,309,3,2,4/5/2018,0.02,29,89,Washington
20067,Embassy Row /Glover Park,75938,Marie,,"Cathedral Heights, McLean Gardens, Glover Park",38.92465671,-77.0683363,Private room,75,3,68,6/24/2018,0.67,1,66,Washington
22453,Elegant Logan Circle Loft Share,32067,Melissa,,"Dupont Circle, Connecticut Avenue/K Street",38.90932655,-77.03484464,Shared room,90,2,86,4/29/2018,0.85,4,211,Washington
24134,"Clean and Cozy in Bloomingdale, NW",75679,Dr. Koura,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91357691,-77.01046524,Private room,40,1,242,7/5/2018,7.14,9,77,Washington
